station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
528768,RF.KSN.01,สนข.คลองสาน,,13.73044,100.50947,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองสาน,Khlong San District,คลองสาน,Khlong San,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528755,RF.KSW.01,สนข.คลองสามวา,,13.8599,100.70424,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองสามวา,Khlong Sam Wa District,บางขัน,Bang Khan,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
3711,48455,กรุงเทพมหานคร,BANGKOK METROPOLIS,13.72639,100.56,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองเตย,Khlong Toei,กรุงเทพมหานคร,06,อต.,TMD,กรมอุตุนิยมวิทยา,Thai Meteorological Department,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
3710,48454,กรุงเทพฯ ท่าเรือคลองเตย,BANGKOK PORT (KLONG TOEI),13.70694,100.56805,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองเตย,Khlong Toei,กรุงเทพมหานคร,06,อต.,TMD,กรมอุตุนิยมวิทยา,Thai Meteorological Department,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528829,RF.KTY.05,จุดวัดสวนเบญจสิริ,,13.73159,100.56745,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองตัน,Khlong Tan,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528816,RF.KTY.04,ส.คลองเตย,,13.70628,100.58752,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองเตย,Khlong Toei,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528814,RF.KTY.02,ส.พระราม 4,,13.7087,100.55457,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองเตย,Khlong Toei,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528815,RF.KTY.03,ส.พระโขนง,,13.70857,100.59542,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,พระโขนง,Phra Khanong,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528764,RF.KTY.01,สนข.คลองเตย,,13.70791,100.58363,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คลองเตย,Khlong Toei District,คลองเตย,Khlong Toei,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528795,RF.KNY.02,จุดวัด ค.ลำชะล่า-ถ.นวมินทร์,,13.83637,100.66131,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,คันนายาว,Khan Na Yao District,คันนายาว,Khan Na Yao,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528793,RF.BKA.02,จุดวัด ค.บางบัว,,13.85796,100.58682,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak District,เสนานิคม,Sena Nikhom,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528785,RF.CTC.03,จุดวัด ถ.เทศบาลสงเคราะห์,,13.83978,100.54175,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak District,ลาดยาว,Lat Yao,กรุงเทพมหานคร,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528746,RF.CTC.01,บ่อสูบศาลอาญารัชดา,,13.80967,100.57498,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak District,จอมพล,Chomphon,ภาคกลาง,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
528827,RF.CTC.02,ส.รัชดา-วิภาวดี,,13.83022,100.55723,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,จตุจักร,Chatuchak District,จตุจักร,Chatuchak,ภาคกลาง,06,สนน กทม.,BMA,สำนักการระบายน้ำ กรุงเทพมหานคร,Department of Drainage and Sewerage BMA,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
