station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
2072,STN1064,กรมทรัพยากรน้ำ,,13.785535,100.53908,rainfall_24h,1002,,,,,,,,10,กรุงเทพมหานคร,Bangkok,พญาไท,Phaya Thai District,สามเสนใน,Sam Sen Nai,กรุงเทพมหานคร,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
1648,STN0558,บ้านโค้งสง่า,,15.304897,100.610502,rainfall_24h,1002,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ตากฟ้า,Tak Fa District,ลำพยนต์,Lam Phayon,ภาคเหนือ,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
1123714,STN1875,บ้านอุดมพัฒนา,,15.829543,100.767315,rainfall_24h,1001,,,,,,,,60,นครสวรรค์,Nakhon Sawan,หนองบัว,Nong Bua District,หนองบัว,Nong Bua,ภาคเหนือ,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501554,STN1526,บ้านซับสมบูรณ์,,15.566287,100.778566,rainfall_24h,1001,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ไพศาลี,Phaisali District,วังข่อย,Wang Khoi,ภาคเหนือ,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501251,STN1217,บ้านพุฝรั่ง,,15.62993,100.798017,rainfall_24h,1001,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ไพศาลี,Phaisali District,วังข่อย,Wang Khoi,ภาคเหนือ,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501282,STN1249,บ้านหัวพุ,,15.564188,100.705829,rainfall_24h,1001,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ไพศาลี,Phaisali District,วังข่อย,Wang Khoi,ภาคเหนือ,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
1020,STN0451,บ้านรังเตี้ย,,15.210777,100.932682,rainfall_24h,1002,,,,,,,,16,ลพบุรี,Lop Buri,สระโบสถ์,Sa Bot District,นิยมชัย,Niyom Chai,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
1018,STN0674,ชุมชนเขาสามยอด (บ้านน้ำจั้น หมู่ 2),,14.825584,100.69195,rainfall_24h,1002,,,,,,,,16,ลพบุรี,Lop Buri,เมืองลพบุรี,Mueang Lop Buri District,เขาสามยอด,Khao Sam Yot,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501236,STN1202,บ้านนกเขาเปล้า,,15.017018,100.793065,rainfall_24h,1002,,,,,,,,16,ลพบุรี,Lop Buri,โคกสำโรง,Khon Samrong District,เพนียด,Phaniat,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501552,STN1524,บ้านพุม่วง,,15.015938,100.863294,rainfall_24h,1002,,,,,,,,16,ลพบุรี,Lop Buri,โคกสำโรง,Khon Samrong District,วังเพลิง,Wang Phloeng,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501219,STN1185,บ้านเขาขุยพัฒนา,,15.528146,100.843028,rainfall_24h,1001,,,,,,,,16,ลพบุรี,Lop Buri,โคกเจริญ,Khok Charoen District,หนองมะค่า,Nong Makha,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
1021,STN0675,บ้านโคกแสมสาร,,15.336768,100.831599,rainfall_24h,1002,,,,,,,,16,ลพบุรี,Lop Buri,โคกเจริญ,Khok Charoen District,โคกแสมสาร,Khok Samae San,ภาคกลาง,06,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501221,STN1187,บ้านคลองบน,,15.931117,100.829141,rainfall_24h,1001,,,,,,,,67,เพชรบูรณ์,Phetchabun,ชนแดน,Chon Daen District,ลาดแค,Lat Khae,ภาคเหนือ,02,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501260,STN1227,บ้านลาดแคใต้,,16.035818,100.826486,rainfall_24h,1001,,,,,,,,67,เพชรบูรณ์,Phetchabun,ชนแดน,Chon Daen District,ลาดแค,Lat Khae,ภาคเหนือ,02,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
501250,STN1216,บ้านพญาวัง,,15.864996,100.848355,rainfall_24h,1001,,,,,,,,67,เพชรบูรณ์,Phetchabun,บึงสามพัน,Bueng Sam Phan District,พญาวัง,Phaya Wang,ภาคเหนือ,02,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,10,ลุ่มน้ำเจ้าพระยา,Chao Phraya Basin
