station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
10065,G23069-HII001,อาคารเลขที่ ๙๐๑,,13.85604,100.57558,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,กรุงเทพมหานคร,จตุจักร,ลาดยาว,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
3641,G07003-C.12,กรมชลประทานสามเสน,,13.78815,100.509148,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-14.52,2.26,2.26,,,,2.259999990463257,,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
1111,G23069-BKK003,คลองมหาสวัสดิ บางกรวย-สวนผัก,,13.79965,100.43863,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-3.101,2.069,2.069,,,,,,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1110,G23069-CPY015,สะพานกรุงเทพ,,13.700301,100.49277,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-15.697,2.161,2.161,,,,,,กรุงเทพมหานคร,ธนบุรี,ดาวคะนอง,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1107,G23069-BKK021,คลองลาดพร้าว วัดบางบัว,,13.85402,100.58746,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-0.33,2.2,2.2,,,,,,กรุงเทพมหานคร,บางเขน,อนุสาวรีย์,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1116,G23069-BKK005,คลองภาษีเจริญ เพชรเกษม69,,13.69158,100.38127,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-6.605,1.415,1.415,,,,,,กรุงเทพมหานคร,บางแค,หลักสอง,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
7170,G23069-AIT001,อโศก,,13.74325,100.562164,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,0.5,2.39,2.39,,,,,,กรุงเทพมหานคร,วัฒนา,คลองเตยเหนือ,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1117,G23069-BKK001,คลองลาดพร้าว ท้ายปตร.คลอง2,,13.92245,100.63438,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-1.9,2.563,2.563,,,,,,กรุงเทพมหานคร,สายไหม,สายไหม,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1170,G23069-CPY003,ปตร.มโนรมย์,,15.3277,100.10913,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,11.11,19.607,19.607,,,,,,ชัยนาท,มโนรมย์,วัดโคก,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5251,G23069-ATG021,เหนือ ปตร.มโนรมย์,,15.33046,100.10331,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,มโนรมย์,วัดโคก,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
3786,G07003-C.13,ท้ายเขื่อนเจ้าพระยา,,15.16384,100.18792,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,2.08,16.34,16.34,15.84,16.34,,16.34000015258789,2720.0,ชัยนาท,สรรพยา,บางหลวง,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
1173,G23069-CPY005,สรรพยา,,15.10907,100.26785,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,3.011,15.277,15.277,,,,,,ชัยนาท,สรรพยา,โพนางดำออก,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5254,G23069-ATG032,ท้ายปตร.บรมธาตุ,,15.15785,100.15282,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,เมืองชัยนาท,ชัยนาท,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5266,G23069-ATG112,ท้ายปตร.มหาราช,,15.16144,100.17268,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,เมืองชัยนาท,บ้านกล้วย,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5231,G23069-ATG011,ปตร.พลเทพ,,15.21593,100.07285,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,เมืองชัยนาท,หาดท่าเสา,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1167,G23069-THA001,สะพานคง-ศุข ศรีสวัสดิ์,,15.225,100.07824,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,10.034,19.418,19.418,,,,,,ชัยนาท,เมืองชัยนาท,หาดท่าเสา,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1168,G23069-CPY004,สะพานธรรมจักร(วัดธรรมามูล),,15.25029,100.08347,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,3.115,17.541,17.541,,,,,,ชัยนาท,เมืองชัยนาท,ธรรมามูล,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5253,G23069-ATG031,เหนือปตร.บรมธาตุ,,15.15816,100.15352,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,เมืองชัยนาท,ชัยนาท,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5265,G23069-ATG111,เหนือปตร.มหาราช,,15.15892,100.17329,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,ชัยนาท,เมืองชัยนาท,บ้านกล้วย,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1821,G23069-BKK019,คลองนราภิรมย์ (บางเลน),,13.88207,100.29086,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-1.59,3.96,3.96,,,,,,นครปฐม,บางเลน,นราภิรมย์,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
2722,G09006-STN0558,บ้านโค้งสง่า,,15.304897,100.610502,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,นครสวรรค์,ตากฟ้า,ลำพยนต์,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำเจ้าพระยา
5280,G23069-ATG182,ท้ายปตร.ช่องแค,,15.14554,100.41321,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,นครสวรรค์,ตาคลี,พรหมนิมิต,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
7553,G23069-CHK001,บ่อดินขาว,,15.169044,100.41471,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,0,16.8115,16.8115,,,,,,นครสวรรค์,ตาคลี,ช่องแค,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
7567,G23069-CHK002,เขาวง,,15.181774,100.41453,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-0.281,17.719,17.719,,,,,,นครสวรรค์,ตาคลี,ช่องแค,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5279,G23069-ATG181,เหนือปตร.ช่องแค,,15.14624,100.41298,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,,,,,,,,นครสวรรค์,ตาคลี,พรหมนิมิต,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
1662,G23069-CPY002,พยุหะคีรี,,15.42655,100.13471,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,10.176,21.33,21.33,,,,,,นครสวรรค์,พยุหะคีรี,ท่าน้ำอ้อย,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
8730,G09006-STN1875,บ้านอุดมพัฒนา*,,15.829543,100.767315,waterlevel,,,,บึงบรเพ็ด,,,,,,,,,นครสวรรค์,หนองบัว,หนองบัว,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำเจ้าพระยา
3837,G07003-C.2,ค่ายจิรประวัติ,,15.67059,100.10936,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,13.32,25.7,25.7,25.2,25.7,,25.700000762939453,3735.0,นครสวรรค์,เมืองนครสวรรค์,ปากน้ำโพ,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
1648,G23069-CPY001,สะพานเดชาติวงศ์,,15.68849,100.12381,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,7.878,26.06,26.06,,,,,,นครสวรรค์,เมืองนครสวรรค์,ปากน้ำโพ,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำเจ้าพระยา
5743,G09006-STN1526,บ้านซับสมบูรณ์,,15.566287,100.778566,waterlevel,,,,บึงบรเพ็ด,,,,,,,,,นครสวรรค์,ไพศาลี,วังข่อย,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำเจ้าพระยา
5462,G09006-STN1217,บ้านพุฝรั่ง,,15.62993,100.798017,waterlevel,,,,บึงบรเพ็ด,,,,,,,,,นครสวรรค์,ไพศาลี,วังข่อย,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำเจ้าพระยา
5492,G09006-STN1249,บ้านหัวพุ,,15.564188,100.705829,waterlevel,,,,บึงบรเพ็ด,,,,,,,,,นครสวรรค์,ไพศาลี,วังข่อย,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำเจ้าพระยา
