station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
3641,G07003-C.12,กรมชลประทานสามเสน,,13.78815,100.509148,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-14.52,2.26,2.26,,,,2.259999990463257,,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3786,G07003-C.13,ท้ายเขื่อนเจ้าพระยา,,15.16384,100.18792,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,2.08,16.34,16.34,15.84,16.34,,16.34000015258789,2720.0,ชัยนาท,สรรพยา,บางหลวง,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3837,G07003-C.2,ค่ายจิรประวัติ,,15.67059,100.10936,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,13.32,25.7,25.7,25.2,25.7,,25.700000762939453,3735.0,นครสวรรค์,เมืองนครสวรรค์,ปากน้ำโพ,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
268754,G07003-C.22A,กรมชลประทานปากเกร็ด,,13.89474,100.491989,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,2.9,2.9,,,,2.9000000953674316,,นนทบุรี,ปากเกร็ด,บางตลาด,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
201266,G07003-C.29B,วัดกร่าง,,14.11658,100.53743,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,3,3,,,,3.0,3600.0,ปทุมธานี,สามโคก,ท้ายเกาะ,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3645,G07003-C.38,โรงเรียนคณะราษฎร์บำรุง,,14.01987,100.537376,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,3.45,3.45,,,,3.450000047683716,,ปทุมธานี,เมืองปทุมธานี,บ้านกลาง,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3650,G07003-C.37,บ้านบางบาล,,14.36319,100.484833,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-3.04,4.14,4.14,,,,4.139999866485596,97.0,พระนครศรีอยุธยา,บางบาล,สะพานไทย,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3653,G07003-C.36,บ้านบางหลวงโดด,,14.41588,100.440804,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-5.95,4.36,4.36,,,,4.300000190734863,441.0,พระนครศรีอยุธยา,บางบาล,บางหลวงโดด,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3651,G07003-C.35,บ้านป้อม,,14.3691,100.528732,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-9.25,4.35,4.35,,,,4.349999904632568,1159.0,พระนครศรีอยุธยา,พระนครศรีอยุธยา,บ้านป้อม,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3649,G07003-S.5,สะพานปรีดี-ธำรง,,14.35872,100.580452,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-8.59,4.7,4.7,,,,4.699999809265137,1400.0,พระนครศรีอยุธยา,พระนครศรีอยุธยา,หอรัตนไชย,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
7577,G07003-C.68,ตลาดเสนา,,14.32779,100.405434,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-3.65,3.2,3.2,,,,3.200000047683716,,พระนครศรีอยุธยา,เสนา,เสนา,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
7576,G07003-C.67,สะพานหัวเวียง,,14.36851,100.414391,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-6.58,2.75,2.75,,,,2.75,,พระนครศรีอยุธยา,เสนา,หัวเวียง,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3770,G07003-C.44,,,15.005,100.33,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,,15.3,15.3,14.8,15.3,,15.300000190734863,,สิงห์บุรี,อินทร์บุรี,อินทร์บุรี,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3765,G07003-C.3,บ้านบางพุทรา,,14.89868,100.401863,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-2.29,13.2,13.2,12.7,13.2,,13.199999809265137,2997.0,สิงห์บุรี,เมืองสิงห์บุรี,บางพุทรา,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
3668,G07003-C.7A,บ้านบางแก้ว,,14.59044,100.453293,waterlevel,,,,ที่ราบแม่น้ำเจ้าพระยา,-6.73,9.9,9.9,,,,9.899999618530273,2880.0,อ่างทอง,เมืองอ่างทอง,ตลาดหลวง,ชป.,กรมชลประทาน,ลุ่มน้ำเจ้าพระยา
