station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
623,STWN,ทต.ทุ่งทราย,Thung Sai,16.29505,99.80898,rainfall_24h,0923,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ทรายทองวัฒนา,Sai Thong Watthana District,ทุ่งทราย,Thung Sai,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
573,NAN008,ชุมแสง,Nan 8,15.86923,100.26481,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ชุมแสง,Chum Saeng District,เกยไชย,Koei Chai,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
385581,TBW014,สะพานข้ามคลองเกรียงไกร,Khlong Kriang Krai Bridge,15.84312,100.21149,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ชุมแสง,Chum Saeng District,บางเคียน,Bang Khian,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1137134,TC29,ที่ทำการผู้ใหญ่บ้าน หมู่ 5,,15.97592,100.13627,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,บรรพตพิสัย,Banphot Phisai District,หนองกรด,Nong Krot,ภาคเหนือ,04,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
1100957,TC27,โรงพยาบาลส่งเสริมสุขภาพตำบล บ้านบึง หมู่ 1,,15.97242,100.09669,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,บรรพตพิสัย,Banphot Phisai District,หนองกรด,Nong Krot,ภาคเหนือ,04,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
1118488,TD00,ที่ทำการผู้ใหญ่บ้าน บ้านน้ำลาด หมู่ 6,,19.50267,100.91204,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
515,TGCG,ที่ว่าการอำเภอทุ่งช้าง,Thung Chang,19.38663,100.87583,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
3638,48307,ทุ่งช้าง,THUNG CHANG,19.41194,100.88353,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,อต.,TMD,กรมอุตุนิยมวิทยา,Thai Meteorological Department,9,ลุ่มน้ำน่าน,Nan River Basin
1432,STN0339,บ้านงอบเหนือ,,19.484719,100.897273,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,งอบ,Ngop,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1435,STN0340,บ้านน้ำพิ,,19.394918,100.831295,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1433,STN0072,บ้านน้ำสอด,,19.448831,100.829499,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501332,STN1299,บ้านน้ำเลียง,,19.565184,100.92158,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1431,STN0338,บ้านปอน,,19.518789,100.927557,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501331,STN1298,บ้านภูคำ,,19.483998,100.859708,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,งอบ,Ngop,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
500151,STN1542,บ้านสลี,,19.405133,100.880954,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1483122,MOU380,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำเลียบ,Watershed Management and Community Development Unit in the Liap Water Conservation Forest Area,19.390013,100.900406,rainfall_24h,0901,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1118489,TD06,หอประชุมหมู่บ้าน บ้านปอน หมู่ 6,,19.52118,100.92492,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
1118490,TD07,หอประชุมหมู่บ้าน บ้านป่าเปือย หมู่ 7,,19.516135,100.927708,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
1100977,TD05,หอประชุมหมู่บ้าน บ้านใหม่ หมู่ 5,,19.52235,100.929176,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
1113289,SKU01,อ.ทุ่งช้าง,,19.419318,100.878985,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,กฟผ.,EGAT,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,Electricity Generating Authority of Thailand,9,ลุ่มน้ำน่าน,Nan River Basin
1100975,TD02,อาคารเอนกประสงค์ หมู่ 5,,19.48501,100.898421,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,งอบ,Ngop,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
3640,48315,ท่าวังผา,THA WANGPHA,19.11056,100.8025,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ริม,Rim,ภาคเหนือ,01,อต.,TMD,กรมอุตุนิยมวิทยา,Thai Meteorological Department,9,ลุ่มน้ำน่าน,Nan River Basin
510,NAN001,ท่าวังผา,Nan 1,19.09611,100.80258,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ท่าวังผา,Tha Wang Pha,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1418,STN0352,บ้านนาหนุน 3,,19.135901,100.788184,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาตอ,Pha To,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1423,STN0343,บ้านน้ำกิใต้,,19.219529,100.647582,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1419,STN0069,บ้านน้ำไคร้,,19.062464,100.927893,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ยม,Yom,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1422,STN0898,บ้านปางสา,,19.230945,100.752061,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
500141,STN1442,บ้านวังว้า (นาเตา),,19.105793,100.80637,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ท่าวังผา,Tha Wang Pha,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1421,STN0068,บ้านสันติสุข,,19.13479,100.700542,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ป่าคา,Pa Kha,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1395,STN0239,บ้านห้วยธนู,,19.026308,100.752384,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ตาลชุม,Tan Chum,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501283,STN1250,บ้านแหน 2,,19.175511,100.77183,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาตอ,Pha To,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1100978,TC84,ศูนย์สาธารณสุขชุมชน บ้านนาอุดม หมู่ 5,,19.05276,100.77228,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ศรีภูมิ,Si Phum,ภาคเหนือ,01,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,9,ลุ่มน้ำน่าน,Nan River Basin
685643,MOU038,สะพานห้วยน้ำสาย,Nam Sai Birgde,19.026337,100.73505,rainfall_24h,0903,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ตาลชุม,Tan Chum,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483119,MOU378,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำหุย,Watershed Management and Community Development Unit in the Nam Hui Conservation Forest Area,19.2556,100.732,rainfall_24h,0902,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483120,MOU379,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำแหน,Watershed Management and Community Development Unit in the Naen Water Conservation Forest Area,19.184416,100.75231,rainfall_24h,0902,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483117,MOU376,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์สบสาย,Watershed Management and Community Development Unit in the Sop Sai Conservation Forest Area,19.11322,100.706726,rainfall_24h,0903,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ป่าคา,Pa Kha,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
685642,MOU037,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำคาง (ดอยวาว),Watershed Management Unit of Nam Khang (Doi Wao),19.137968,100.64121,rainfall_24h,0903,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ศรีภูมิ,Si Phum,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
11567317,DNP061,ที่ทำการอุทยานแห่งชาติศรีน่าน,Si Nan National Park Office,18.36945,100.83013,rainfall_24h,0913,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,ศรีษะเกษ,Sisa Ket,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1408,STN0716,บ้านทัพม่าน,,18.33798,100.567497,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,บัวใหญ่,Bua Yai,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501433,STN1403,บ้านน้ำหิน,,18.294692,100.721618,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,เชียงของ,Chiang Khong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1405,STN0848,บ้านป่ากล้วย,,18.229369,100.686028,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,สถาน,Sathan,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1459130,STN2265,บ้านป่าสัก,,18.310669,100.728303,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,เชียงของ,Chiang Khong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1409,STN0184,บ้านวังกอก,,18.401079,100.607072,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,น้ำตก,Namtok,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1406,STN0796,บ้านส้าน,,18.282419,100.565464,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,สันทะ,Santha,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501168,STN1128,บ้านหัวเมือง,,18.365695,100.727942,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,ศรีษะเกษ,Sisa Ket,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501303,STN1270,บ้านห้วยเลา,,18.33723,100.95749,rainfall_24h,0913,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,เชียงของ,Chiang Khong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1407,STN0341,บ้านเรืองสว่าง (บ้านขุนสถาน เดิม),,18.292133,100.483805,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,สันทะ,Santha,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
