station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
1432,STN0339,บ้านงอบเหนือ,,19.484719,100.897273,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,งอบ,Ngop,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1435,STN0340,บ้านน้ำพิ,,19.394918,100.831295,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1433,STN0072,บ้านน้ำสอด,,19.448831,100.829499,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501332,STN1299,บ้านน้ำเลียง,,19.565184,100.92158,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1431,STN0338,บ้านปอน,,19.518789,100.927557,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ปอน,Pon,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
501331,STN1298,บ้านภูคำ,,19.483998,100.859708,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,งอบ,Ngop,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
500151,STN1542,บ้านสลี,,19.405133,100.880954,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,และ,Lae,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1418,STN0352,บ้านนาหนุน 3,,19.135901,100.788184,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาตอ,Pha To,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1423,STN0343,บ้านน้ำกิใต้,,19.219529,100.647582,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1419,STN0069,บ้านน้ำไคร้,,19.062464,100.927893,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ยม,Yom,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
1422,STN0898,บ้านปางสา,,19.230945,100.752061,rainfall_24h,0902,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
