station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
623,STWN,ทต.ทุ่งทราย,Thung Sai,16.29505,99.80898,rainfall_24h,0923,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ทรายทองวัฒนา,Sai Thong Watthana District,ทุ่งทราย,Thung Sai,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
573,NAN008,ชุมแสง,Nan 8,15.86923,100.26481,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ชุมแสง,Chum Saeng District,เกยไชย,Koei Chai,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
385581,TBW014,สะพานข้ามคลองเกรียงไกร,Khlong Kriang Krai Bridge,15.84312,100.21149,rainfall_24h,0923,,,,,,,,60,นครสวรรค์,Nakhon Sawan,ชุมแสง,Chum Saeng District,บางเคียน,Bang Khian,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
515,TGCG,ที่ว่าการอำเภอทุ่งช้าง,Thung Chang,19.38663,100.87583,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1483122,MOU380,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำเลียบ,Watershed Management and Community Development Unit in the Liap Water Conservation Forest Area,19.390013,100.900406,rainfall_24h,0901,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ทุ่งช้าง,Thung Chang District,ทุ่งช้าง,Thung Chang,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
510,NAN001,ท่าวังผา,Nan 1,19.09611,100.80258,rainfall_24h,0903,,,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ท่าวังผา,Tha Wang Pha,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
685643,MOU038,สะพานห้วยน้ำสาย,Nam Sai Birgde,19.026337,100.73505,rainfall_24h,0903,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ตาลชุม,Tan Chum,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483119,MOU378,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำหุย,Watershed Management and Community Development Unit in the Nam Hui Conservation Forest Area,19.2556,100.732,rainfall_24h,0902,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483120,MOU379,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำแหน,Watershed Management and Community Development Unit in the Naen Water Conservation Forest Area,19.184416,100.75231,rainfall_24h,0902,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ผาทอง,Pha Thong,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483117,MOU376,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์สบสาย,Watershed Management and Community Development Unit in the Sop Sai Conservation Forest Area,19.11322,100.706726,rainfall_24h,0903,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ป่าคา,Pa Kha,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
685642,MOU037,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำคาง (ดอยวาว),Watershed Management Unit of Nam Khang (Doi Wao),19.137968,100.64121,rainfall_24h,0903,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ศรีภูมิ,Si Phum,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1472967,MOU241,สถานีวิจัยต้นน้ำขุนสถาน,Khun Sathan Watershed Research Station,18.277527,100.50524,rainfall_24h,0912,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,สันทะ,Santha,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
685662,MOU057,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนสถาน,Watershed Management and Community Development Unit in Khun Sathan Conservation Forest Area,18.273388,100.53669,rainfall_24h,0912,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,นาน้อย,Na Noi District,สันทะ,Santha,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483142,MOU392,หน่วยพิทักษ์อุทยานแห่งชาติที่ ศน.7 (ห้วยงาม),National Park Protection Unit 7 (Huai Ngam),18.2799,100.9562,rainfall_24h,0913,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,นาน้อย,Na Noi District,เชียงของ,Chiang Khong,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
517,NAMN,สนามกีฬา ทต.บ่อแก้ว,Bo Kaeo,18.21042,100.66244,rainfall_24h,0912,,,,,,,,55,น่าน,Nan,นาหมื่น,Na Muen District,บ่อแก้ว,Bo Kaeo,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1483169,MOU406,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์เมืองลี,Watershed Management and Community Development Unit in the Muang Lee Conservation Forest Area,18.18908,100.47599,rainfall_24h,0913,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,นาหมื่น,Na Muen District,ปิงหลวง,Ping Luang,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
519,BOKA,ทต.บ่อเกลือใต้,Bo Kluea Tai,19.07989,101.15386,rainfall_24h,0910,,,,,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,บ่อเกลือใต้,Bo Kluea Tai,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1483141,MOU391,ที่ทำการอุทยานแห่งชาติขุนน่าน,Khun Nan National Park Office,19.18075,101.17954,rainfall_24h,0910,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,บ่อเกลือใต้,Bo Kluea Tai,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
520,VLGE19,วัดบ้านดงผาปูน,Dong Pha Poon Temple Communuty,19.07307,101.19879,rainfall_24h,0910,,,,,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,บ่อเกลือใต้,Bo Kluea Tai,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
685633,MOU028,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนน่าน,Watershed Management and Community Development Unit in Khun Nan Conservation Forest,19.348192,101.1751,rainfall_24h,0901,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,บ่อเกลือเหนือ,Bo Kluea Nuea,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483168,MOU405,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนน้ำตวง,Watershed Management and Community Development Unit in Khun Nam Tuang Conservation Forest,18.997,101.1884,rainfall_24h,0910,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,ภูฟ้า,Phu Fa,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
685639,MOU034,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนว้า,Watershed Management and Community Development Unit in Khun Wa Conservation Forest Area,19.236826,101.183914,rainfall_24h,0910,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,ดงพญา,Dong Phaya,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483159,MOU400,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำหมาวหมอก,Watershed Management and Community Development Unit in the Nam Mao Mok Conservation Forest Area,19.061718,101.10231,rainfall_24h,0910,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,บ่อเกลือ,Bo Kluea District,บ่อเกลือใต้,Bo Kluea Tai,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
642753,MOU035,สะพานน้ำขว้าง บ้านร้องแง,Nam Khwang (Ban Rong Ngae) Bridge,19.175901,100.92981,rainfall_24h,0901,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,ปัว,Pua District,วรนคร,Wara Nakhon,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1483166,MOU404,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์น้ำขว้าง,Watershed Management and Community Development Unit in the Nam Kwang Conservation Forest Area,19.1848,101.072,rainfall_24h,0901,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,55,น่าน,Nan,ปัว,Pua District,ภูคา,Phu Kha,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
508,PUAA,อบต.ไชยวัฒนา,Chai Watthana,19.22249,100.91779,rainfall_24h,0901,,,,,,,,55,น่าน,Nan,ปัว,Pua District,ไชยวัฒนา,Chai Watthana,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1601349,RES027,อ่างเก็บน้ำห้วยมัด,Huai Tiery Reservoir,19.01162,100.94317,rainfall_24h,0904,,,,,,,,55,น่าน,Nan,ปัว,Pua District,อวน,Ouan,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
522,NAN002,ภูเพียง,Nan 2,18.85971,100.8171,rainfall_24h,0905,,,,,,,,55,น่าน,Nan,ภูเพียง,Phu Phiang District,เมืองจัง,Mueang Chang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1601353,RES031,อ่างเก็บน้ำน้ำเกี๋ยน,Nam Kian Reservoir,18.75228,100.853,rainfall_24h,0905,,,,,,,,55,น่าน,Nan,ภูเพียง,Phu Phiang District,น้ำเกี๋ยน,Nam Kian,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1601348,RES026,อ่างเก็บน้ำห้วยหวะ,Huai Wa Reservoir,18.89904,100.83237,rainfall_24h,0905,,,,,,,,55,น่าน,Nan,ภูเพียง,Phu Phiang District,เมืองจัง,Mueang Chang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
523,NAN003,เมืองน่าน,Nan 3,18.73796,100.75609,rainfall_24h,0907,,,,,,,,55,น่าน,Nan,ภูเพียง,Phu Phiang District,ท่าน้าว,Tha Nao,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
648042,MOU027,สะพานน้ำยาว บ้านสองแคว,Ban SongKhwae Bridge,9.590024,98.63296,rainfall_24h,0902,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,สองแคว,Song Khwae District,นาไร่หลวง,Na Rai Luang,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
642748,MOU023,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนน้ำพริก,Watershed Management and Community Development Unit in Khun Nam Phrik Conservation Forest Area,19.457697,100.65635,rainfall_24h,0902,,,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,สองแคว,Song Khwae District,ชนแดน,Chon Daen,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,9,ลุ่มน้ำน่าน,Nan River Basin
1601350,RES028,อ่างเก็บน้ำขอนแก่น 2,Khon Kaen 2 Reservoir,18.96273,100.92741,rainfall_24h,0904,,,,,,,,55,น่าน,Nan,สันติสุข,Santi Suk District,ป่าแลวหลวง,Pa Laeo Luang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1601351,RES029,อ่างเก็บน้ำน้ำพงษ์,Num Pong Reservoir,18.9116,100.96423,rainfall_24h,0904,,,,,,,,55,น่าน,Nan,สันติสุข,Santi Suk District,พงษ์,Phong,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1601352,RES030,อ่างเก็บน้ำห้วยก๊อต,Huai Got Reservoir,18.87318,100.93699,rainfall_24h,0904,,,,,,,,55,น่าน,Nan,สันติสุข,Santi Suk District,พงษ์,Phong,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
