station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
1653,G23069-NAN008,ชุมแสง,,15.86923,100.26481,waterlevel,,,,แม่น้ำน่านตอนล่างส่วนที่ 2,16.208,27.97,27.97,,,,,,นครสวรรค์,ชุมแสง,เกยไชย,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำน่าน
3863,G07003-N.67,วัดเกยไชยเหนือ,,15.86918,100.264732,waterlevel,,,,แม่น้ำน่านตอนล่างส่วนที่ 2,12.54,28.21,28.21,27.71,28.21,,28.209999084472656,1435.0,นครสวรรค์,ชุมแสง,เกยไชย,ชป.,กรมชลประทาน,ลุ่มน้ำน่าน
5537,G09006-STN1299,บ้านน้ำเลียง,,19.565184,100.92158,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ทุ่งช้าง,ปอน,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
2505,G09006-STN0338,บ้านปอน*,,19.518789,100.927557,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ทุ่งช้าง,ปอน,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
5536,G09006-STN1298,บ้านภูคำ,,19.483998,100.859708,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ทุ่งช้าง,งอบ,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
5321,G09006-STN1542,บ้านสลี*,,19.405133,100.880954,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ทุ่งช้าง,และ,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
5489,G09006-STN1246,บ้านห้วยสะแตง,,19.442399,100.893743,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ทุ่งช้าง,และ,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
1590,G23069-NAN001,ท่าวังผา,,19.09611,100.80258,waterlevel,,,,แม่น้ำน่านส่วนที่ 2/1,216.328,223.307,223.307,,,,,,น่าน,ท่าวังผา,ท่าวังผา,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำน่าน
2492,G09006-STN0352,บ้านนาหนุน 3*,,19.135901,100.788184,waterlevel,,,,ห้วยน้ำยาว (1),,,,,,,,,น่าน,ท่าวังผา,ผาตอ,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
5311,G09006-STN1442,บ้านนาเตา*,,19.123687,100.810284,waterlevel,,,,แม่น้ำน่านตอนบน,,,,,,,,,น่าน,ท่าวังผา,ท่าวังผา,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำน่าน
