station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
5537,G09006-STN1299,บ้านน้ำเลียง,,19.565184,100.92158,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ทุ่งช้าง,,ปอน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
2505,G09006-STN0338,บ้านปอน*,,19.518789,100.927557,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ทุ่งช้าง,,ปอน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5536,G09006-STN1298,บ้านภูคำ,,19.483998,100.859708,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ทุ่งช้าง,,งอบ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5321,G09006-STN1542,บ้านสลี*,,19.405133,100.880954,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ทุ่งช้าง,,และ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5489,G09006-STN1246,บ้านห้วยสะแตง,,19.442399,100.893743,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ทุ่งช้าง,,และ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
2492,G09006-STN0352,บ้านนาหนุน 3*,,19.135901,100.788184,waterlevel,,,,,ห้วยน้ำยาว (1),,,,55,น่าน,,ท่าวังผา,,ผาตอ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5311,G09006-STN1442,บ้านนาเตา*,,19.123687,100.810284,waterlevel,,,,,แม่น้ำน่านตอนบน,,,,55,น่าน,,ท่าวังผา,,ท่าวังผา,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
2496,G09006-STN0898,บ้านปางสา,,19.230945,100.752061,waterlevel,,,,,ห้วยน้ำยาว (1),,,,55,น่าน,,ท่าวังผา,,ผาทอง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5493,G09006-STN1250,บ้านแหน 2,,19.175511,100.77183,waterlevel,,,,,ห้วยน้ำยาว (1),,,,55,น่าน,,ท่าวังผา,,ผาตอ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
5632,G09006-STN1403,บ้านน้ำหิน,,18.294692,100.721618,waterlevel,,,,,น้ำแหง,,,,55,น่าน,,นาน้อย,,เชียงของ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,9,ลุ่มน้ำน่าน,Nan River Basin
