station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
1653,G23069-NAN008,ชุมแสง,,15.86923,100.26481,waterlevel,,,,,แม่น้ำน่านตอนล่างส่วนที่ 2,16.208,27.97,,60,นครสวรรค์,,ชุมแสง,,เกยไชย,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1590,G23069-NAN001,ท่าวังผา,,19.09611,100.80258,waterlevel,,,,,แม่น้ำน่านส่วนที่ 2/1,216.328,223.307,,55,น่าน,,ท่าวังผา,,ท่าวังผา,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268785,G23069-RES027,อ่างเก็บน้ำห้วยมัด,,19.01162,100.94317,waterlevel,,,,,น้ำยาว (2),295.2,,,55,น่าน,,ปัว,,อวน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1602,G23069-NAN002,ภูเพียง,,18.85971,100.8171,waterlevel,,,,,แม่น้ำน่านส่วนที่ 2/2,195.061,205.643,,55,น่าน,,ภูเพียง,,เมืองจัง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268789,G23069-RES031,อ่างเก็บน้ำน้ำเกี๋ยน,,18.75228,100.853,waterlevel,,,,,แม่น้ำน่านส่วนที่ 2/2,267.6,,,55,น่าน,,ภูเพียง,,น้ำเกี๋ยน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268784,G23069-RES026,อ่างเก็บน้ำห้วยหวะ,,18.89904,100.83237,waterlevel,,,,,แม่น้ำน่านส่วนที่ 2/2,230.6,,,55,น่าน,,ภูเพียง,,เมืองจัง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1603,G23069-NAN003,เมืองน่าน,,18.73796,100.75609,waterlevel,,,,,แม่น้ำน่านส่วนที่ 2/3,187.025,195.433,,55,น่าน,,ภูเพียง,,ท่าน้าว,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268786,G23069-RES028,อ่างเก็บน้ำขอนแก่น 2,,18.96273,100.92741,waterlevel,,,,,น้ำยาว (2),262.4,,,55,น่าน,,สันติสุข,,ป่าแลวหลวง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268787,G23069-RES029,อ่างเก็บน้ำน้ำพงษ์,,18.9116,100.96423,waterlevel,,,,,น้ำยาว (2),303.2,,,55,น่าน,,สันติสุข,,พงษ์,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
268788,G23069-RES030,อ่างเก็บน้ำห้วยก๊อต,,18.87318,100.93699,waterlevel,,,,,น้ำยาว (2),309.6,,,55,น่าน,,สันติสุข,,พงษ์,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
1581,G23069-TB0001,บ้านกาใส,,18.86399,100.67626,waterlevel,,,,,น้ำสมุน,,,,55,น่าน,,เมืองน่าน,,สะเนียน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),9,ลุ่มน้ำน่าน,Nan River Basin
