station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
616,PIN004,ขาณุวรลักษบุรี,Ping 4,16.06475,99.8603,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ขาณุวรลักษบุรี,Khanu Woralaksaburi District,ป่าพุทรา,Pa Phutsa,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1316504,ridtele_TP.113,บ้านเกาะตาล,,16.135833,99.784167,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ขาณุวรลักษบุรี,Khanu Woralaksaburi District,เกาะตาล,Ko Tan,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
1316512,ridtele_TP.102,คลองวังหิน,,16.229583,99.696722,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองขลุง,Khlong Khlung District,ท่าพุทรา,Tha Phutsa,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
1316515,ridtele_TP.105,สำนักสงฆ์มอหินเพลิง,,16.151548,99.527517,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองขลุง,Khlong Khlung District,วังไทร,Wang Sai,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
1100861,TA39,องค์การบริหารส่วนตำบลวังไทร,,16.2186,99.62069,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองขลุง,Khlong Khlung District,วังไทร,Wang Sai,ภาคเหนือ,04,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,6,ลุ่มน้ำปิง,Ping River Basin
620,KGKG,อบต.คลองขลุง,Khlong Khlung,16.20864,99.70895,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองขลุง,Khlong Khlung District,คลองขลุง,Khlong Khlung,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
614,KGLN,ทต.คลองลานพัฒนา,Khlong Lan Phatthana,16.12253,99.32932,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองลานพัฒนา,Khlong Lan Phatthana,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1675,STN0913,บ้านกะเหรี่ยงน้ำตก,,16.126938,99.306881,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองลานพัฒนา,Khlong Lan Phatthana,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1674,STN0443,บ้านคลองมดแดง,,16.406402,99.237542,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1673,STN0670,บ้านรวงผึ้งพัฒนา,,16.197635,99.291834,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองน้ำไหล,Khlong Nam Lai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1677,STN0300,บ้านเพชรนิยม,,16.289125,99.274877,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,สักงาม,Sak Ngam,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1100862,TA25,บ้านเลขที่ 49 หมู่ 18,,16.12705,99.3087,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองลานพัฒนา,Khlong Lan Phatthana,ภาคเหนือ,04,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,6,ลุ่มน้ำปิง,Ping River Basin
1316513,ridtele_TP.103,บ้านโชคชัยพัฒนา-หินดาต,,16.085972,99.420639,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองลานพัฒนา,Khlong Lan Phatthana,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
1676,STN0442,บ้านโป่งน้ำร้อน,,16.328463,99.298103,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1316510,ridtele_TP.100,ฝายคลองสวนหมาก,,16.330917,99.26475,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
11567348,DNP092,หน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์ขุนหมาก,Watershed Management and Community Development Unit in the Khun Mak Conservation Forest Area,16.097857,99.11591,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองน้ำไหล,Khlong Nam Lai,ภาคเหนือ,04,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,6,ลุ่มน้ำปิง,Ping River Basin
1556931,MOU326,หน่วยพิทักษ์อุทยานแห่งชาติที่ คล.4 (คลองสวนหมาก),National Park Protection Unit Kor Lor 4 (Khlong Suan Mak),16.3287,99.2576,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,6,ลุ่มน้ำปิง,Ping River Basin
1121230,MOU304,ที่ทำการอุทยานแห่งชาติแม่วงก์,Mae Wong National Park,16.039022,99.233345,rainfall_24h,0630,,,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,6,ลุ่มน้ำปิง,Ping River Basin
1678,STN0441,บ้านตากฟ้าพัฒนา,,15.974194,99.37996,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1680,STN0912,บ้านปางเหนือ,,16.062207,99.314654,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1681,STN0914,บ้านไพรสวรรค์,,16.060747,99.384051,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1316502,ridtele_TP.111,บ้านวังชะโอน,,16.703333,99.435278,rainfall_24h,0627,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,พรานกระต่าย,Phran Kratai District,ท่าไม้,Tha Mai,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
3668,48380,กำแพงเพชร,KAMPHAENG PHET,16.48681,99.52697,rainfall_24h,0628,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,ในเมือง,Nai Mueang,ภาคเหนือ,04,อต.,TMD,กรมอุตุนิยมวิทยา,Thai Meteorological Department,6,ลุ่มน้ำปิง,Ping River Basin
608,VLGE15,ชุมชนหนองปิ้งไก่,Nong Ping Kai Communuty,16.4348,99.36729,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
611,DIV005,ท่อทองแดง1,Tor Thong Daeng1,16.49714,99.51958,rainfall_24h,0628,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,หนองปลิง,Nong Pling,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1316517,ridtele_TP.107,บ้านคลองสีนวล,,16.343056,99.598389,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,ธำมรงค์,Thammarong,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
1667,STN0445,บ้านปางขนุน,,16.46868,99.258865,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1100865,TA37,บ้านผู้ใหญ่บ้าน เลขที่ 164  หมู่ 11,,16.45228,99.4557,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,ท่าขุนราม,Tha Khun Ram,ภาคเหนือ,04,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,6,ลุ่มน้ำปิง,Ping River Basin
1668,STN0444,บ้านศรีไกรลาศ,,16.465842,99.346447,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1672,STN0003,บ้านสันติสุข,,16.44708,99.426899,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,ท่าขุนราม,Tha Khun Ram,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1669,STN0547,บ้านห้วยกุ่ม,,16.523629,99.385159,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,ทรงธรรม,Songtham,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1671,STN0440,บ้านเขาน้ำเพชร,,16.372171,99.401781,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,คลองแม่ลาย,Khlong Mae Lai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1316523,ridtele_TP.99,วัดเขาแก้วสวรรค์,,16.406278,99.349611,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,6,ลุ่มน้ำปิง,Ping River Basin
