station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
1675,STN0913,บ้านกะเหรี่ยงน้ำตก,,16.126938,99.306881,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองลานพัฒนา,Khlong Lan Phatthana,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1674,STN0443,บ้านคลองมดแดง,,16.406402,99.237542,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1673,STN0670,บ้านรวงผึ้งพัฒนา,,16.197635,99.291834,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,คลองน้ำไหล,Khlong Nam Lai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1677,STN0300,บ้านเพชรนิยม,,16.289125,99.274877,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,สักงาม,Sak Ngam,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1676,STN0442,บ้านโป่งน้ำร้อน,,16.328463,99.298103,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,คลองลาน,Khlong Lan District,โป่งน้ำร้อน,Pong Nam Ron,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1678,STN0441,บ้านตากฟ้าพัฒนา,,15.974194,99.37996,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1680,STN0912,บ้านปางเหนือ,,16.062207,99.314654,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1681,STN0914,บ้านไพรสวรรค์,,16.060747,99.384051,rainfall_24h,0630,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ปางศิลาทอง,Pang Sila Thong District,ปางตาไว,Pang Ta Wai,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1667,STN0445,บ้านปางขนุน,,16.46868,99.258865,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
1668,STN0444,บ้านศรีไกรลาศ,,16.465842,99.346447,rainfall_24h,0629,,,,,,,,62,กำแพงเพชร,Kamphaeng Phet,เมืองกำแพงเพชร,Mueang Kamphaeng Phet District,นาบ่อคำ,Na Bo Kham,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,6,ลุ่มน้ำปิง,Ping River Basin
