station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
1694,G23069-PIN004,ขาณุวรลักษบุรี,,16.06475,99.8603,waterlevel,,,,แม่น้ำปิงตอนล่าง,38.988,45.331,45.331,,,,,,กำแพงเพชร,ขาณุวรลักษบุรี,ป่าพุทรา,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำปิง
3889,G07003-P.16,บ้านแสนตอ,,16.064671,99.860191,waterlevel,,,,แม่น้ำปิงตอนล่าง,38.02,46.45,46.45,45.95,46.45,39.779998779296875,6.670000076293945,2862.0,กำแพงเพชร,ขาณุวรลักษบุรี,แสนตอ,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3897,G07003-P.78,บ้านสามเรือน,,16.181589,99.598358,waterlevel,,,,แม่น้ำปิงตอนล่าง,65.227,71.47,71.47,70.97,71.47,65.18000030517578,6.289999961853027,236.0,กำแพงเพชร,คลองขลุง,วังไทร,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3902,G07003-P.15,หน้าวัดศรีภิรมย์,,16.21414,99.722328,waterlevel,,,,แม่น้ำปิงตอนล่าง,49.462,57.65,57.65,57.15,57.65,51.54999923706055,6.099999904632568,2850.0,กำแพงเพชร,คลองขลุง,คลองขลุง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3277102,G50504-BD08,แม่น้ำปิงที่ อ.คลองขลุง (P.15),,16.21715,99.720608,waterlevel,,,,แม่น้ำปิงตอนล่าง,,,,,,,,,กำแพงเพชร,คลองขลุง,คลองขลุง,กฟผ.,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,ลุ่มน้ำปิง
2749,G09006-STN0913,บ้านกะเหรี่ยงน้ำตก*,,16.126938,99.306881,waterlevel,,,,แม่น้ำปิงตอนล่าง,,,,,,,,,กำแพงเพชร,คลองลาน,คลองลานพัฒนา,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำปิง
10107,G07003-P.47A,บ้านโป่งน้ำร้อน,,16.328381,99.298042,waterlevel,,,,คลองสวนหมาก,118.19999694824219,123.07,123.07,122.57,123.07,118.19999694824219,4.869999885559082,,กำแพงเพชร,คลองลาน,โป่งน้ำร้อน,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
2750,G09006-STN0442,บ้านโป่งน้ำร้อน*,,16.328463,99.298103,waterlevel,,,,คลองสวนหมาก,,,,,,,,,กำแพงเพชร,คลองลาน,โป่งน้ำร้อน,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำปิง
2754,G09006-STN0912,บ้านปางเหนือ*,,16.062207,99.314654,waterlevel,,,,แม่น้ำปิงตอนล่าง,,,,,,,,,กำแพงเพชร,ปางศิลาทอง,ปางตาไว,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำปิง
268755,G07003-P.26B,คลองสวนหมาก,,16.457411,99.45607,waterlevel,,,,คลองสวนหมาก,84.11000061035156,89.11,89.11,88.61,89.11,84.11000061035156,5.0,336.0,กำแพงเพชร,เมืองกำแพงเพชร,ท่าขุนราม,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
