station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
1694,G23069-PIN004,ขาณุวรลักษบุรี,,16.06475,99.8603,waterlevel,,,,,แม่น้ำปิงตอนล่าง,38.988,45.331,,62,กำแพงเพชร,,ขาณุวรลักษบุรี,,ป่าพุทรา,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1689,G23069-DIV005,ท่อทองแดง1,,16.49714,99.51958,waterlevel,,,,,แม่น้ำปิงส่วนที่ 4/5,72.549,77.712,,62,กำแพงเพชร,,เมืองกำแพงเพชร,,หนองปลิง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1688,G23069-PIN003,สะพานลานดอกไม้,,16.6282,99.43257,waterlevel,,,,,แม่น้ำปิงส่วนที่ 4/5,80.145,84.642,,62,กำแพงเพชร,,เมืองกำแพงเพชร,,ลานดอกไม้,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1687,G23069-PIN006,เมืองกำแพงเพชร (P7A),,16.47816,99.51866,waterlevel,,,,,แม่น้ำปิงตอนล่าง,70.252,78.165,,62,กำแพงเพชร,,เมืองกำแพงเพชร,,นครชุม,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1706,G23069-PIN001,บ้านตาก,,17.04066,99.06628,waterlevel,,,,,แม่น้ำปิงส่วนที่ 4/2,117.722,121.603,,63,ตาก,,บ้านตาก,,ตากตก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1716,G23069-PIN002,เมืองตาก,,16.78657,99.18398,waterlevel,,,,,แม่น้ำปิงส่วนที่ 4/3,98.699,101.325,,63,ตาก,,วังเจ้า,,ประดาง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268814,G23069-RES056,อ่างเก็บน้ำตลุกหิน,,16.81018,99.08733,waterlevel,,,,,ห้วยแม่ท้อ,157.4,,,63,ตาก,,เมืองตาก,,หนองบัวใต้,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1657,G23069-PIN005,เก้าเลี้ยว,,15.85051,100.05206,waterlevel,,,,,แม่น้ำปิงตอนล่าง,26.293,31.533,,60,นครสวรรค์,,เก้าเลี้ยว,,หัวดง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268781,G23069-RES023,อ่างเก็บน้ำห้วยหินฝน,,18.00469,99.00955,waterlevel,,,,,น้ำแม่ลี้,563.8,,,51,ลำพูน,,ทุ่งหัวช้าง,,ทุ่งหัวช้าง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268782,G23069-RES024,อ่างเก็บน้ำแม่แพม,,17.86006,99.13616,waterlevel,,,,,น้ำแม่ลี้,561.4,,,51,ลำพูน,,ทุ่งหัวช้าง,,บ้านปวง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268776,G23069-RES018,อ่างเก็บน้ำทุ่งม่าน,,18.25546,98.84405,waterlevel,,,,,น้ำแม่ลี้,336.6,,,51,ลำพูน,,บ้านโฮ่ง,,ป่าพลู,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268777,G23069-RES019,อ่างเก็บน้ำห้วยหนองสูน,,18.3069,98.70883,waterlevel,,,,,แม่น้ำปิงส่วนที่ 3/2,299.8,,,51,ลำพูน,,บ้านโฮ่ง,,หนองปลาสะวาย,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268778,G23069-RES020,อ่างเก็บน้ำห้วยเขียวตอนล่าง,,18.29841,98.69497,waterlevel,,,,,แม่น้ำปิงส่วนที่ 3/2,290.8,,,51,ลำพูน,,บ้านโฮ่ง,,หนองปลาสะวาย,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268775,G23069-RES017,อ่างเก็บน้ำห้วยแทง,,18.29177,98.86272,waterlevel,,,,,น้ำแม่ลี้,407,,,51,ลำพูน,,บ้านโฮ่ง,,บ้านโฮ่ง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
10123,G23069-PIN009,แม่น้ำลี้ บ้านโฮ่ง,,18.310793,98.82355,waterlevel,,,,,น้ำแม่ลี้,306.3054,310.8359,,51,ลำพูน,,บ้านโฮ่ง,,บ้านโฮ่ง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268771,G23069-RES013,อ่างเก็บน้ำห้วยลากไม้ตอนบน,,18.39674,98.8642,waterlevel,,,,,แม่น้ำปิงส่วนที่ 2/4,329,,,51,ลำพูน,,ป่าซาง,,น้ำดิบ,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268772,G23069-RES014,อ่างเก็บน้ำห้วยลึก,,18.38092,98.83209,waterlevel,,,,,แม่น้ำปิงส่วนที่ 2/4,319.8,,,51,ลำพูน,,ป่าซาง,,น้ำดิบ,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268774,G23069-RES016,อ่างเก็บน้ำแม่อาวใหญ่ตอนบน,,18.29082,98.93266,waterlevel,,,,,แม่น้ำปิงส่วนที่ 2/4,480.6,,,51,ลำพูน,,ป่าซาง,,นครเจดีย์,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
10122,G23069-PIN008,แม่น้ำทา,,18.471687,98.95513,waterlevel,,,,,น้ำแม่กวง,302.6263,305.711,,51,ลำพูน,,ป่าซาง,,ท่าตุ้ม,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
10125,G23069-PIN011,น้ำก้อ,,17.636518,98.77956,waterlevel,,,,,แม่น้ำปิงส่วนที่ 3/4,257.6763,259.8008,,51,ลำพูน,,ลี้,,ก้อ,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
10124,G23069-PIN010,ห้วยแม่ลี้,,17.805399,98.953316,waterlevel,,,,,น้ำแม่ลี้,439.5131,445.5231,,51,ลำพูน,,ลี้,,ลี้,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268779,G23069-RES021,อ่างเก็บน้ำห้วยแม่ปาง,,18.10623,98.84675,waterlevel,,,,,น้ำแม่ลี้,528.2,,,51,ลำพูน,,ลี้,,ศรีวิชัย,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268780,G23069-RES022,อ่างเก็บน้ำแม่ตืน,,18.0204,98.83142,waterlevel,,,,,น้ำแม่ลี้,481.4,,,51,ลำพูน,,ลี้,,แม่ตืน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
10121,G23069-PIN007,สะพานแม่น้ำทา,,18.546852,99.25007,waterlevel,,,,,น้ำแม่กวง,437.7019,441.5951,,51,ลำพูน,,แม่ทา,,ทาปลาดุก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268769,G23069-RES011,อ่างเก็บน้ำห้วยแม่ป่าข่า,,18.5359,99.28488,waterlevel,,,,,น้ำแม่กวง,516.8,,,51,ลำพูน,,แม่ทา,,ทาปลาดุก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268773,G23069-RES015,อ่างเก็บน้ำห้วยโป่ง,,18.34001,98.93681,waterlevel,,,,,น้ำแม่กวง,410.2,,,51,ลำพูน,,แม่ทา,,ทาขุมเงิน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268770,G23069-RES012,อ่างเก็บน้ำห้วยไคร้,,18.50746,99.22739,waterlevel,,,,,น้ำแม่กวง,441.8,,,51,ลำพูน,,แม่ทา,,ทาปลาดุก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
268768,G23069-RES010,อ่างเก็บน้ำโฮ่งฮ่างอันเนื่องมาจากพระราขดำริ,,18.56854,99.24858,waterlevel,,,,,น้ำแม่กวง,485.7,,,51,ลำพูน,,แม่ทา,,ทาปลาดุก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
4855,G23069-TBW008,ฝ่ายส่งน้ำและบำรุงรักษาที่ 2,,18.88353,99.08182,waterlevel,,,,,น้ำแม่กวง,318.75,322.227,,50,เชียงใหม่,,สันทราย,,เมืองเล็น,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1510,G23069-CHM001,สันทราย,,19.00979,98.95975,waterlevel,,,,,แม่น้ำปิงส่วนที่ 2/1,313.105,321.268,,50,เชียงใหม่,,สันทราย,,แม่แฝก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1507,G23069-TB0006,สะพานโยธาอำนวยพัฒนา,,18.57391,98.86222,waterlevel,,,,,น้ำแม่ขาน,289.139,292.182,,50,เชียงใหม่,,สันป่าตอง,,ทุ่งสะโตก,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1514,G23069-CHM002,ฮอด,,18.17859,98.63017,waterlevel,,,,,แม่น้ำปิงส่วนที่ 3/3,254.507,260.835,,50,เชียงใหม่,,ฮอด,,หางดง,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
18437043,G23069-CHD004,CHD004,,19.39339,98.92826,waterlevel,,,,,แม่น้ำปิงตอนบนส่วนที่ 1,,,,50,เชียงใหม่,,เชียงดาว,,เชียงดาว,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1494,G23069-CHM004,เชียงดาว,,19.36728,98.96884,waterlevel,,,,,แม่น้ำปิงตอนบนส่วนที่ 1,378.034,381.718,,50,เชียงใหม่,,เชียงดาว,,เชียงดาว,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
1498,G23069-CHM005,แม่แตง,,19.12207,98.94447,waterlevel,,,,,แม่น้ำแม่แตง,329.087,335.811,,50,เชียงใหม่,,แม่แตง,,สันมหาพน,,ภาคเหนือ,,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),6,ลุ่มน้ำปิง,Ping River Basin
