station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
3889,G07003-P.16,บ้านแสนตอ,,16.064671,99.860191,waterlevel,,,,แม่น้ำปิงตอนล่าง,38.02,46.45,46.45,45.95,46.45,39.779998779296875,6.670000076293945,2862.0,กำแพงเพชร,ขาณุวรลักษบุรี,แสนตอ,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3897,G07003-P.78,บ้านสามเรือน,,16.181589,99.598358,waterlevel,,,,แม่น้ำปิงตอนล่าง,65.227,71.47,71.47,70.97,71.47,65.18000030517578,6.289999961853027,236.0,กำแพงเพชร,คลองขลุง,วังไทร,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3902,G07003-P.15,หน้าวัดศรีภิรมย์,,16.21414,99.722328,waterlevel,,,,แม่น้ำปิงตอนล่าง,49.462,57.65,57.65,57.15,57.65,51.54999923706055,6.099999904632568,2850.0,กำแพงเพชร,คลองขลุง,คลองขลุง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
10107,G07003-P.47A,บ้านโป่งน้ำร้อน,,16.328381,99.298042,waterlevel,,,,คลองสวนหมาก,118.19999694824219,123.07,123.07,122.57,123.07,118.19999694824219,4.869999885559082,,กำแพงเพชร,คลองลาน,โป่งน้ำร้อน,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
268755,G07003-P.26B,คลองสวนหมาก,,16.457411,99.45607,waterlevel,,,,คลองสวนหมาก,84.11000061035156,89.11,89.11,88.61,89.11,84.11000061035156,5.0,336.0,กำแพงเพชร,เมืองกำแพงเพชร,ท่าขุนราม,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3942,G07003-P.7A,ต.ในเมือง,,16.47772,99.517921,waterlevel,,,,แม่น้ำปิงตอนล่าง,69.69,77.07,77.07,76.57,77.07,71.7300033569336,5.340000152587891,3000.0,กำแพงเพชร,เมืองกำแพงเพชร,ในเมือง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3956,G07003-P.50A,คลองวังเจ้า,,16.63925,99.242813,waterlevel,,,,คลองวังเจ้า,104.783,108.06,108.06,107.56,108.06,104.36000061035156,3.700000047683716,122.0,ตาก,วังเจ้า,เชียงทอง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4066,G07003-P.12C,บ้านย่านรี,,17.23818,99.02626,waterlevel,,,,แม่น้ำปิงส่วนที่ 4/1,127.58,134.44,134.44,133.94,134.44,129.0,5.440000057220459,1660.0,ตาก,สามเงา,ย่านรี,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4005,G07003-P.2A,บ้านท่าแค,,16.855261,99.124489,waterlevel,,,,แม่น้ำปิงส่วนที่ 4/3,102.6,109.78,109.78,109.28,109.78,104.0,5.78000020980835,2600.0,ตาก,เมืองตาก,เทศบาลเมืองตาก,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3874,G07003-P.17,บ้านท่างิ้ว,,15.93539,99.976089,waterlevel,,,,แม่น้ำปิงตอนล่าง,30.63,38.25,38.25,37.75,38.25,,38.25,1835.0,นครสวรรค์,บรรพตพิสัย,ท่างิ้ว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4215,G07003-P.85,บ้านหล่ายแก้ว,,18.366421,98.772102,waterlevel,,,,น้ำแม่ลี้,287.45,293.87,293.87,293.37,293.87,290.3699951171875,3.5,297.70001220703125,ลำพูน,บ้านโฮ่ง,เหล่ายาว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4261,G07003-P.87,บ้านป่าซาง,,18.519119,98.942291,waterlevel,,,,น้ำแม่กวง,287.39,293.05,293.05,292.55,293.05,288.95001220703125,4.099999904632568,104.37999725341797,ลำพูน,ป่าซาง,ป่าซาง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4190,G07003-P.76,บ้านแม่อีไฮ,,18.14139,98.896606,waterlevel,,,,น้ำแม่ลี้,364.13,369.02,369.02,368.52,369.02,363.6199951171875,5.400000095367432,252.0,ลำพูน,ลี้,ศรีวิชัย,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4227,G07003-P.77,บ้านสบแม่สะป๊วด,,18.43327,99.085129,waterlevel,,,,น้ำแม่กวง,365.83,368.95,368.95,368.45,368.95,364.95001220703125,4.0,111.62999725341797,ลำพูน,แม่ทา,ทาสบเส้า,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4205,G07003-P.73,บ้านสบสอย,,18.29126,98.64756,waterlevel,,,,แม่น้ำปิงส่วนที่ 3/2,257.23,268.05,268.05,,,,,1000,เชียงใหม่,จอมทอง,แม่สอย,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
5787,G07003-P.73A,บ้านสบแปะ,,18.25341,98.641411,waterlevel,,,,แม่น้ำปิงส่วนที่ 3/2,252.736,265.47,265.47,,,,,1412.5,เชียงใหม่,จอมทอง,บ้านแปะ,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
268750,G07003-P.24D,สะพานประชาอุทิศ,,18.415661,98.669853,waterlevel,,,,น้ำแม่กลาง,,278.4,278.4,,,,,75.54000091552734,เชียงใหม่,จอมทอง,ดอยแก้ว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4285,G07003-P.79,บ้านแม่หวาน,,18.9643,99.237518,waterlevel,,,,น้ำแม่กวง,441.93,445.8,445.8,,,,,380,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4278,G07003-P.80,บ้านโป่งดิน,,18.916401,99.235817,waterlevel,,,,น้ำแม่กวง,455.066,458.6,458.6,,,,,111,เชียงใหม่,ดอยสะเก็ด,ป่าเมี่ยง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4310,G07003-P.56A,บ้านสหกรณ์ร่มเกล้า,,19.284189,99.186943,waterlevel,,,,น้ำแม่งัด,408.53,293.5,293.5,293.0,293.5,288.5,5.0,116.5,เชียงใหม่,พร้าว,แม่แวน,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4329,G07003-P.91,บ้านสันปู่เลย,,19.133591,99.166328,waterlevel,,,,น้ำแม่งัด,412.28,417.1,417.1,,,,,171,เชียงใหม่,พร้าว,โหล่งขอด,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4264,G07003-P.86,บ้านโห้ง,,18.739611,99.218651,waterlevel,,,,น้ำแม่กวง,340.185,345.40002,345.40002,,,,,25,เชียงใหม่,สันกำแพง,ร้องวัวแดง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4324,G07003-P.71A,บ้านกลาง,,18.54735,98.862282,waterlevel,,,,น้ำแม่ขาน,283.01,288.29,288.29,287.79,288.29,283.2900085449219,5.0,129.67999267578125,เชียงใหม่,สันป่าตอง,ท่าวังพร้าว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4253,G07003-P.81,บ้านโป่ง,,18.69521,99.078751,waterlevel,,,,น้ำแม่กวง,290.15,295.72,295.72,295.22,295.72,289.9200134277344,5.800000190734863,102.12000274658203,เชียงใหม่,สารภี,ชมภู,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4153,G07003-P.64,บ้านหลวง,,17.78546,98.372391,waterlevel,,,,น้ำแม่ตื่น,787.025,793.35,793.35,,,,,360,เชียงใหม่,อมก๋อย,ยางเปียง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4197,G07003-P.14A,สะพานท่าข้าม,,18.20228,98.614441,waterlevel,,,,น้ำแม่แจ่มตอนล่าง,260.586,304.2,304.2,303.7,304.2,300.5,3.700000047683716,425.0,เชียงใหม่,ฮอด,หางดง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4312,G07003-P.20,บ้านเชียงดาว,,19.369551,98.969101,waterlevel,,,,แม่น้ำปิงตอนบนส่วนที่ 1,378.6,382.7,382.7,382.2,382.7,379.8999938964844,2.799999952316284,276.0,เชียงใหม่,เชียงดาว,เชียงดาว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4267,G07003-P.1,สะพานนวรัฐ,,18.786961,99.005089,waterlevel,,,,แม่น้ำปิงส่วนที่ 2/2,299.25,304.2,304.2,303.7,304.2,300.5,3.700000047683716,425.0,เชียงใหม่,เมืองเชียงใหม่,วัดเกต,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4281,G07003-P.21,บ้านริมใต้,,18.92746,98.939774,waterlevel,,,,น้ำแม่ริม,318.87,323.5,323.5,323.0,323.5,319.70001220703125,3.799999952316284,50.650001525878906,เชียงใหม่,แม่ริม,ริมเหนือ,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4326,G07003-P.93,บ้านสลวงนอก,,19.015091,98.880836,waterlevel,,,,น้ำแม่ริม,340.238,343.59,343.59,,,,,57.380001068115234,เชียงใหม่,แม่ริม,สะลวง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4288,G07003-P.67,บ้านแม่แต,,19.00985,98.95974,waterlevel,,,,แม่น้ำปิงส่วนที่ 2/1,312.52,318.93,318.93,318.43,318.93,315.92999267578125,3.0,380.20001220703125,เชียงใหม่,แม่ริม,ขี้เหล็ก,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
5786,G07003-P.103,สะพานวงแหวนรอบ 3,,18.86651,98.978188,waterlevel,,,,แม่น้ำปิงส่วนที่ 2/2,300.25,307.69,307.69,307.19,307.69,300.8900146484375,6.800000190734863,475.79998779296875,เชียงใหม่,แม่ริม,ดอนแก้ว,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4263,G07003-P.84,บ้านพันตน,,18.59133,98.796623,waterlevel,,,,น้ำแม่ขาน,303.11,307.24,307.24,306.74,307.24,303.239990234375,4.0,85.0,เชียงใหม่,แม่วาง,บ้านกาด,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
3620,G07003-P.82,บ้านสบวิน,,18.65423,98.685661,waterlevel,,,,น้ำแม่ขาน,399.56,404.0,404.0,403.5,404.0,400.20001220703125,3.799999952316284,142.3000030517578,เชียงใหม่,แม่วาง,แม่วิน,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4294,G07003-P.75,บ้านช่อแล,,19.14599,99.007332,waterlevel,,,,แม่น้ำปิงตอนบนส่วนที่ 2,336.95,341.3,341.3,340.8,341.3,337.6000061035156,3.700000047683716,210.0,เชียงใหม่,แม่แตง,ช่อแล,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4327,G07003-P.92,บ้านเมืองกึ๊ด,,19.220449,98.847214,waterlevel,,,,แม่น้ำแม่แตง,440.225,444.14,444.14,443.64,444.14,440.6400146484375,3.5,331.25,เชียงใหม่,แม่แตง,กื้ดช้าง,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
4292,G07003-P.4A,บ้านแม่แตง,,19.122181,98.944412,waterlevel,,,,แม่น้ำแม่แตง,332.317,337.8,337.8,337.3,337.8,334.0,3.799999952316284,374.0,เชียงใหม่,แม่แตง,สันมหาพน,ชป.,กรมชลประทาน,ลุ่มน้ำปิง
