station_code,raw_station_code,station_id,station_name,province,amphoe,utok_id,basin_id,basin_name,group_id,group_name,zero_gauge_msl,bank_level_relative_m,bank_level_msl,warning_level_msl,critical_level_msl,ground_level,qmax
G.10,G.10,76,บ้านโป่งปูเฟือง,เชียงราย,แม่สรวย,1,3,ลุ่มน้ำกก,328,G.10 - G.8 ,433.4700012207031,3.5,436.97,436.47,436.97,433.4700012207031,215.17999267578125
G.12,G.12,695,บ้านใหม่ริมฝาง,เชียงใหม่,ฝาง,1,3,ลุ่มน้ำกก,1169,G.12,459.9800109863281,4.5,464.48,463.98,464.48,459.9800109863281,101.9000015258789
G.2A,G.2A,690,บ้านกกโท้ง,เชียงราย,เมืองเชียงราย,1,3,ลุ่มน้ำกก,1120,G.2A,388.0,4.5,392.5,392.0,392.5,388.0,615.0
G.8A,G.8A,74,บ้านต้นยาง,เชียงราย,เมืองเชียงราย,1,3,ลุ่มน้ำกก,328,G.10 - G.8 ,401.5,4.400000095367432,405.9,405.4,405.9,401.5,189.0
GT.10,Gt.10,451,บ้านหนองหญ้าปล้อง,ประจวบคีรีขันธ์,บางสะพาน,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,520,Gt.10 (คลองกรูด),22.399999618530273,6.5,28.9,28.4,28.9,22.399999618530273,280.0
GT.11,Gt.11,452,บ้านช้างแรก,ประจวบคีรีขันธ์,บางสะพานน้อย,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,705,Gt.11(คลองใหญ่),37.599998474121094,3.0,40.6,40.1,40.6,37.599998474121094,85.0
GT.20,Gt.20,453,สะพานรถยนต์ ร.ร.อนุบาลบางสะพาน,ประจวบคีรีขันธ์,บางสะพาน,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,1085,บางสะพาน,0.0,3.700000047683716,3.7,3.2,3.7,0.0,
GT.21,Gt.21,648,บ้านพงศ์ประศาสน์,ประจวบคีรีขันธ์,บางสะพาน,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,1085,บางสะพาน,-2.0,6.0,4.0,3.5,4.0,-2.0,
GT.7,Gt.7,449,บ้านวังยาว,ประจวบคีรีขันธ์,บางสะพาน,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,1085,บางสะพาน,11.800000190734863,7.5,19.3,18.8,19.3,11.800000190734863,825.0
GT.9,Gt.9,450,บ้านกลาง,ประจวบคีรีขันธ์,ทับสะแก,7,20,ลุ่มน้ำชายฝั่งทะเลตะวันตก,519,Gt.9(คลองทับสะแก),6.900000095367432,4.0,10.9,10.4,10.9,6.900000095367432,100.0
