station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
501296,STN1263,บ้านยางโองนอก,,17.15904,99.148994,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,บ้านตาก,Ban Tak District,แม่สลิด,Mae Salit,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501206,STN1172,บ้านเด่นไม้ซุง,,17.239535,99.249512,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,บ้านตาก,Ban Tak District,แม่สลิด,Mae Salit,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501288,STN1255,บ้านดงลาน,,17.277752,99.137413,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,วังจันทร์,Wang Chan,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501299,STN1266,บ้านหนองเชียงคา,,17.345768,99.050204,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501286,STN1253,บ้านใหม่สามัคคี,,17.284697,99.056294,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1329,STN0882,บ้านตึงเหนือ,,19.039207,99.708485,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังทอง,Wang Thong,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1123852,STN2014,บ้านต้นฮ่าง,,19.056799,99.640113,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังทรายคำ,Wang Sai Thong,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
500129,STN1256,บ้านทัพป่าเส้า,,19.191428,99.615416,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังเหนือ,Wang Nuea,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1327,STN0644,บ้านทุ่งปี้,,19.253908,99.639732,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,ทุ่งฮั้ว,Thung Hua,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1459041,STN2176,บ้านน้ำหลง,,19.17489,99.659674,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังซ้าย,Wang Sai,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1328,STN0883,บ้านปงถ้ำ,,19.119505,99.702894,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังทอง,Wang Thong,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1123853,STN2015,บ้านป่าฝาง,,19.065157,99.638035,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังทรายคำ,Wang Sai Thong,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501265,STN1232,บ้านวังโป่ง,,19.097161,99.61846,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังใต้,Wang Tai,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501302,STN1269,บ้านห้วยก้อด,,19.036747,99.61032,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,ร่องเคาะ,Rong Kho,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1123850,STN2012,บ้านห้วยป้าย,,19.296164,99.616463,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังแก้ว,Wang Kaeo,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501287,STN1254,บ้านฮ่าง,,19.286858,99.63232,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังแก้ว,Wang Kaeo,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501256,STN1223,บ้านแม่สงเหนือ,,18.974856,99.586337,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,ร่องเคาะ,Rong Kho,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
501213,STN1179,บ้านแม่สุกใน,,19.16413,99.663787,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังซ้าย,Wang Sai,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1123851,STN2013,บ้านแม่สุขเหนือ,,19.131933,99.627375,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังซ้าย,Wang Sai,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
1123651,STN1813,บ้านใหม่หล่ายท่า,,19.17154,99.622608,rainfall_24h,0701,,,,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,วังซ้าย,Wang Sai,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
500126,STN1199,บ้านทุ่ง,,17.873848,99.362825,rainfall_24h,0709,,,,,,,,52,ลำปาง,Lampang,สบปราบ,Sop Prap District,สบปราบ,Sop Prap,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
