station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
630,WAN001,สามเงา,Wang 1,17.26053,99.07797,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,วังหมัน,Wang Man,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1476446,MOU317,หน่วยพิทักษ์อุทยานแห่งชาติที่ มว.3 (ดงลาน),"National Park Protection Unit, 3 (Dong Lan)",17.2975,99.1891,rainfall_24h,0711,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,วังจันทร์,Wang Chan,ภาคเหนือ,04,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,7,ลุ่มน้ำวัง,Wang River Basin
1601372,RES050,อ่างเก็บน้ำสองแควหลวง,Song Kwai Luang Reservoir,17.37875,99.01148,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1601373,RES051,อ่างเก็บน้ำสองแควเหนือ,Song Kwai Nuea Reservoir,17.35603,99.02463,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1601374,RES052,อ่างเก็บน้ำสองแควใต้,Song Kwai Tai Reservoir,17.32797,99.02184,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1601377,RES055,อ่างเก็บน้ำหนองก้างปลา,Nong Kao Pla Reservoir,17.31207,99.09735,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1601376,RES054,อ่างเก็บน้ำหนองเข้,Nong Khae Reservoir,17.34999,99.06564,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1601375,RES053,อ่างเก็บน้ำห้วยคลองไม้แดง,Huai Khlong Mai Daeng Reservoir,17.30193,99.0265,rainfall_24h,0711,,,,,,,,63,ตาก,Tak,สามเงา,Sam Ngao District,ยกกระบัตร,Yok Krabat,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
1121234,MOU323,สะพานน้ำวัง,Nam Wang Bridge,19.232492,99.63247,rainfall_24h,0701,,,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,52,ลำปาง,Lampang,วังเหนือ,Wang Nuea District,ทุ่งฮั้ว,Thung Hua,ภาคเหนือ,03,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,7,ลุ่มน้ำวัง,Wang River Basin
467,SPPT,อบต.นายาง,Na Yang,17.90977,99.30969,rainfall_24h,0709,,,,,,,,52,ลำปาง,Lampang,สบปราบ,Sop Prap District,นายาง,Na Yang,ภาคเหนือ,03,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),7,ลุ่มน้ำวัง,Wang River Basin
