station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
5419,G09006-STN1172,บ้านเด่นไม้ซุง,,17.239535,99.249512,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,,,,,,,,,ตาก,บ้านตาก,แม่สลิด,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำวัง
4088,G07003-W.24,บ้านท่าไผ่,,17.32165,99.077217,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,135.881,143.93,143.93,143.43,143.93,135.42999267578125,8.5,463.0,ตาก,สามเงา,ยกกระบัตร,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4059,G07003-W.4A,บ้านวังหมัน,,17.20499,99.098122,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,129.46,137.0,137.0,136.5,137.0,130.0,7.0,530.0,ตาก,สามเงา,วังหมัน,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
5496,G09006-STN1253,บ้านใหม่สามัคคี,,17.284697,99.056294,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,,,,,,,,,ตาก,สามเงา,ยกกระบัตร,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำวัง
1708,G23069-WAN001,สามเงา,,17.26053,99.07797,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,129.883,141.227,141.227,,,,,,ตาก,สามเงา,วังหมัน,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
268808,G23069-RES050,อ่างเก็บน้ำสองแควหลวง,,17.37875,99.01148,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,182.4,,,,,,,,ตาก,สามเงา,ยกกระบัตร,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
268809,G23069-RES051,อ่างเก็บน้ำสองแควเหนือ,,17.35603,99.02463,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,170.2,,,,,,,,ตาก,สามเงา,ยกกระบัตร,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
268810,G23069-RES052,อ่างเก็บน้ำสองแควใต้,,17.32797,99.02184,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,167,,,,,,,,ตาก,สามเงา,ยกกระบัตร,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
268813,G23069-RES055,อ่างเก็บน้ำหนองก้างปลา,,17.31207,99.09735,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,135.2,,,,,,,,ตาก,สามเงา,ยกกระบัตร,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
268812,G23069-RES054,อ่างเก็บน้ำหนองเข้,,17.34999,99.06564,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,133,,,,,,,,ตาก,สามเงา,ยกกระบัตร,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำวัง
