station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
5419,G09006-STN1172,บ้านเด่นไม้ซุง,,17.239535,99.249512,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 4,,,,63,ตาก,,บ้านตาก,,แม่สลิด,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5496,G09006-STN1253,บ้านใหม่สามัคคี,,17.284697,99.056294,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 4,,,,63,ตาก,,สามเงา,,ยกกระบัตร,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2403,G09006-STN0882,บ้านตึงเหนือ,,19.039207,99.708485,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังทอง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8868,G09006-STN2014,บ้านต้นฮ่าง*,,19.056799,99.640113,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังทรายคำ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5299,G09006-STN1256,บ้านทัพป่าเส้า,,19.191428,99.615416,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังเหนือ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
268511,G09006-STN2176,บ้านน้ำหลง*,,19.17489,99.659674,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังซ้าย,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2402,G09006-STN0883,บ้านปงถ้ำ,,19.119505,99.702894,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังทอง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8869,G09006-STN2015,บ้านป่าฝาง*,,19.065157,99.638035,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังทรายคำ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5510,G09006-STN1269,บ้านห้วยก้อด,,19.036747,99.61032,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,ร่องเคาะ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8866,G09006-STN2012,บ้านห้วยป้าย*,,19.296164,99.616463,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังแก้ว,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5497,G09006-STN1254,บ้านฮ่าง,,19.286858,99.63232,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังแก้ว,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5467,G09006-STN1223,บ้านแม่สงเหนือ,,18.974856,99.586337,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,ร่องเคาะ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8867,G09006-STN2013,บ้านแม่สุขเหนือ*,,19.131933,99.627375,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังซ้าย,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8667,G09006-STN1813,บ้านใหม่หล่ายท่า*,,19.17154,99.622608,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,วังเหนือ,,วังซ้าย,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2416,G09006-STN0533,บ้านสวนป่าทุ่งเกวียน,,18.332701,99.249899,waterlevel,,,,,แม่น้ำวังตอนกลางส่วนที่ 2,,,,52,ลำปาง,,ห้างฉัตร,,เวียงตาล,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8855,G09006-STN2001,บ้านนาแก้วตะวันตก*,,18.112375,99.347773,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 1,,,,52,ลำปาง,,เกาะคา,,นาแส่ง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8856,G09006-STN2002,บ้านไหล่หินตะวันตก*,,18.20979,99.337733,waterlevel,,,,,แม่น้ำวังตอนกลางส่วนที่ 2,,,,52,ลำปาง,,เกาะคา,,ไหล่หิน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5565,G09006-STN1330,บ้านท่าอุดม,,17.680154,99.312242,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 2,,,,52,ลำปาง,,เถิน,,แม่ปะ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2408,G09006-STN0877,บ้านแม่ถอด,,17.757825,99.225892,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 2,,,,52,ลำปาง,,เถิน,,แม่ถอด,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5577,G09006-STN1343,บ้านแม่แก่ง,,17.700725,99.163618,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 2,,,,52,ลำปาง,,เถิน,,แม่ถอด,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8863,G09006-STN2009,บ้านขอใต้*,,18.65129,99.47465,waterlevel,,,,,น้ำแม่ตุ๋ย,,,,52,ลำปาง,,เมืองปาน,,บ้านขอ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8861,G09006-STN2007,บ้านทุ่ง*,,18.839804,99.511887,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,เมืองปาน,,แจ้ซ้อน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8864,G09006-STN2010,บ้านทุ่งสะแกง*,,18.699913,99.483582,waterlevel,,,,,น้ำแม่ตุ๋ย,,,,52,ลำปาง,,เมืองปาน,,บ้านขอ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8669,G09006-STN1815,บ้านทุ่งโป่ง*,,18.774213,99.486707,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,เมืองปาน,,เมืองปาน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8862,G09006-STN2008,บ้านศรีดอนมูล*,,18.810419,99.5032,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,เมืองปาน,,แจ้ซ้อน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5641,G09006-STN1412,บ้านแม่แจ๋ม,,18.918987,99.423498,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,เมืองปาน,,แจ้ซ้อน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5495,G09006-STN1252,บ้านใหม่พัฒนา,,18.85746,99.50298,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,เมืองปาน,,แจ้ซ้อน,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5564,G09006-STN1329,บ้านต้นต้อง,,18.338258,99.566892,waterlevel,,,,,แม่น้ำวังตอนกลางส่วนที่ 1,,,,52,ลำปาง,,เมืองลำปาง,,พิชัย,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5578,G09006-STN1344,บ้านห้วยน้ำเค็ม,,18.385754,99.615819,waterlevel,,,,,แม่น้ำวังตอนกลางส่วนที่ 1,,,,52,ลำปาง,,เมืองลำปาง,,บ้านเสด็จ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5502,G09006-STN1260,บ้านปงป่าป๋อ,,18.130482,99.207081,waterlevel,,,,,น้ำแม่ต่ำ,,,,52,ลำปาง,,เสริมงาม,,เสริมขวา,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2394,G09006-STN0879,บ้านสันโป่ง,,18.076908,99.152528,waterlevel,,,,,น้ำแม่ต่ำ,,,,52,ลำปาง,,เสริมงาม,,เสริมกลาง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5463,G09006-STN1219,บ้านแม่กึ๊ด,,18.093353,99.271891,waterlevel,,,,,น้ำแม่ต่ำ,,,,52,ลำปาง,,เสริมงาม,,ทุ่งงาม,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5625,G09006-STN1396,บ้านทุ่งฮ้าง,,18.88286,99.670438,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,แจ้ห่ม,,ทุ่งผึ้ง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
8858,G09006-STN2004,บ้านปงคอบ*,,18.759017,99.562078,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,แจ้ห่ม,,วิเชตนคร,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5645,G09006-STN1416,บ้านศรีบุญเรือง,,18.826529,99.576168,waterlevel,,,,,แม่น้ำสวย,,,,52,ลำปาง,,แจ้ห่ม,,แม่สุก,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5626,G09006-STN1397,บ้านแม่ช่อฟ้า,,18.863594,99.730043,waterlevel,,,,,แม่น้ำวังตอนบน,,,,52,ลำปาง,,แจ้ห่ม,,ทุ่งผึ้ง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5442,G09006-STN1195,บ้านด่าน,,17.996171,99.509398,waterlevel,,,,,น้ำแม่จาง,,,,52,ลำปาง,,แม่ทะ,,สันดอนแก้ว,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5553,G09006-STN1318,บ้านผาลาด,,18.241118,99.596513,waterlevel,,,,,น้ำแม่จาง,,,,52,ลำปาง,,แม่ทะ,,แม่ทะ,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2411,G09006-STN0937,บ้านหลุกใต้*,,18.130707,99.532341,waterlevel,,,,,น้ำแม่จาง,,,,52,ลำปาง,,แม่ทะ,,นาครัว,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
2410,G09006-STN0535,บ้านสันขี้เหล็ก,,17.480736,99.086995,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 3,,,,52,ลำปาง,,แม่พริก,,แม่พริก,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
5466,G09006-STN1222,บ้านแม่เชียงรายบน,,17.361821,99.145232,waterlevel,,,,,แม่น้ำวังตอนล่างส่วนที่ 4,,,,52,ลำปาง,,แม่พริก,,พระบาทวังตวง,,ภาคเหนือ,,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,7,ลุ่มน้ำวัง,Wang River Basin
