station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
4088,G07003-W.24,บ้านท่าไผ่,,17.32165,99.077217,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,135.881,143.93,143.93,143.43,143.93,135.42999267578125,8.5,463.0,ตาก,สามเงา,ยกกระบัตร,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4059,G07003-W.4A,บ้านวังหมัน,,17.20499,99.098122,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,129.46,137.0,137.0,136.5,137.0,130.0,7.0,530.0,ตาก,สามเงา,วังหมัน,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
3621,G07003-W.25,บ้านร่องเคาะ,,18.990931,99.621109,waterlevel,,,,แม่น้ำวังตอนบน,381.163,385.9,385.9,,,,,424,ลำปาง,วังเหนือ,ร่องเคาะ,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
268751,G07003-W.6B,บ้านสบปราบ,,17.880501,99.328163,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 2,,189.35,189.35,,,,,,ลำปาง,สบปราบ,สบปราบ,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4193,G07003-W.22,บ้านวังพร้าว,,18.14444,99.408463,waterlevel,,,,น้ำแม่จาง,213.321,218.66,218.66,,,,,310.6000061035156,ลำปาง,เกาะคา,วังพร้าว,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4195,G07003-W.5A,บ้านเกาะคา,,18.19154,99.396873,waterlevel,,,,แม่น้ำวังตอนกลางส่วนที่ 2,212.595,220.46,220.46,,,,,,ลำปาง,เกาะคา,ท่าผา,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4143,G07003-W.3A,บ้านดอนชัย,,17.641491,99.23201,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 2,159.1,165.8,165.8,165.3,165.8,161.0,4.800000190734863,850.0,ลำปาง,เถิน,ล้อมแรด,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4212,G07003-W.20,บ้านท่าล้อ,,18.310881,99.45784,waterlevel,,,,น้ำแม่ตุ๋ย,228.052,236.02,236.02,,,,,373,ลำปาง,เมืองลำปาง,บ่อแฮ้ว,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4213,G07003-W.21,บ้านท่าเดื่อ,,18.34301,99.537178,waterlevel,,,,แม่น้ำวังตอนกลางส่วนที่ 1,230.82,238,238,,,,,471,ลำปาง,เมืองลำปาง,ต้นธงชัย,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
7610,G07003-W.10B,บ้านแลง,,18.51882,99.629997,waterlevel,,,,แม่น้ำวังตอนกลางส่วนที่ 1,257.311,263.9,263.9,263.4,263.9,257.29998779296875,6.599999904632568,436.0,ลำปาง,เมืองลำปาง,บ้านแลง,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4209,G07003-W.1C,สะพานเสตุวารี,,18.29973,99.51123,waterlevel,,,,แม่น้ำวังตอนกลางส่วนที่ 1,226.89,234.5,234.5,234.0,234.5,229.3000030517578,5.199999809265137,487.0,ลำปาง,เมืองลำปาง,บ้านดง,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4256,G07003-W.17,บ้านหนองนาว,,18.722269,99.567268,waterlevel,,,,แม่น้ำสวย,290.34,294.5,294.5,,,,,210,ลำปาง,แจ้ห่ม,แจ้ห่ม,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4322,G07003-W.26,บ้านเมืองมาย,,18.596041,99.622063,waterlevel,,,,แม่น้ำวังตอนกลางส่วนที่ 1,285.96,289.37,289.37,,,,,62.060001373291016,ลำปาง,แจ้ห่ม,เมืองมาย,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4265,G07003-W.16A,บ้านไฮ,,18.785219,99.630409,waterlevel,,,,แม่น้ำวังตอนบน,302.61,308.5,308.5,,,,,241,ลำปาง,แจ้ห่ม,ปงดอน,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
4100,G07003-W.23,บ้านแม่เชียงราย,,17.36661,99.113007,waterlevel,,,,แม่น้ำวังตอนล่างส่วนที่ 4,140.28,147.59,147.59,147.09,147.59,141.2899932861328,6.300000190734863,475.0,ลำปาง,แม่พริก,แม่พริก,ชป.,กรมชลประทาน,ลุ่มน้ำวัง
