station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
621,PKTI,ทต.พรานกระต่าย,Phran Kratai,16.65376,99.57577,rainfall_24h,0817,แม่น้ำยมส่วนที่ 4,Yom River Part 4,,,,,,62,กำแพงเพชร,Kamphaeng Phet,พรานกระต่าย,Phran Kratai District,พรานกระต่าย,Phran Kratai,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
1679,STN0915,บ้านทุ่งยาว,,16.836034,99.566874,rainfall_24h,0817,แม่น้ำยมส่วนที่ 4,Yom River Part 4,,,,,,62,กำแพงเพชร,Kamphaeng Phet,พรานกระต่าย,Phran Kratai District,ห้วยยั้ง,Huai Yang,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
622,LKBU,อบต.ลานกระบือ,Lan Krabue,16.61806,99.88005,rainfall_24h,0819,แม่น้ำยมตอนล่าง,Lower Yom River,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ลานกระบือ,Lan Krabue District,ลานกระบือ,Lan Krabue,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
613,NMKO,อบต.หนองไม้กอง,Nong Mai Kong,16.43571,99.94509,rainfall_24h,0819,แม่น้ำยมตอนล่าง,Lower Yom River,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ไทรงาม,Sai Ngam District,หนองไม้กอง,Nong Mai Kong,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
501421,STN1391,บ้านหนองมะค่า,,17.014068,99.396445,rainfall_24h,0816,น้ำแม่ท่าแพ,Nam Mae Tha Phae,,,,,,63,ตาก,Tak,เมืองตาก,Mueang Tak District,โป่งแดง,Pong Daeng,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1686,STN0926,บ้านโป่งแค,,16.926296,99.409849,rainfall_24h,0816,น้ำแม่ท่าแพ,Nam Mae Tha Phae,,,,,,63,ตาก,Tak,เมืองตาก,Mueang Tak District,วังประจบ,Wang Prachop,ภาคเหนือ,04,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1316575,ridtele_TY.58,วัดท่าไม้,,15.915063,100.247163,rainfall_24h,0819,แม่น้ำยมตอนล่าง,Lower Yom River,,,,,,60,นครสวรรค์,Nakhon Sawan,ชุมแสง,Chum Saeng District,ท่าไม้,Tha Mai,ภาคเหนือ,04,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,8,ลุ่มน้ำยม,Yom River Basin
1123774,STN1936,บ้านสบขุ่น,,19.096261,100.582693,rainfall_24h,0802,น้ำแม่ควร,Nam Mae Khuan,,,,,,55,น่าน,Nan,ท่าวังผา,Tha Wang Pha District,ป่าคา,Pa Kha,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1316571,ridtele_TY.46,บ้านวังยาว จ.น่าน,,18.843087,100.427468,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,ป่าคาหลวง,Pa Kha Luang,ภาคเหนือ,01,ชป.,RID,กรมชลประทาน,Royal Irrigation Department,8,ลุ่มน้ำยม,Yom River Basin
1404,STN0349,บ้านห้วยตึม,,18.871762,100.465511,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านพี้,Ban Phi,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1403,STN0354,บ้านโปร่งศรี,,18.782298,100.4556,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านฟ้า,Ban Fa,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
506,BLUG,สนามกีฬา อบต.ป่าคาหลวง,Pha Ka Luang,18.85289,100.43501,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,ป่าคาหลวง,Pa Kha Luang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
1125522,MOU288,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำพี้,Nam Phi Watershed Conservation Development Study Unit,18.941303,100.45999,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านพี้,Ban Phi,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1121275,MOU481,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำบ้านหลวง,Ban Luang Watershed Conservation Development Study Unit,18.774237,100.42194,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านฟ้า,Ban Fa,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1601355,RES033,อ่างเก็บน้ำห้วยช้าง,Huai Chang Reservoir,18.85078,100.47182,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,สวด,Suat,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
1601354,RES032,อ่างเก็บน้ำห้วยสีพัน,Huai Si Phan Reservoir,18.86476,100.47229,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,สวด,Suat,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
685631,MOU026,ที่ทำการอุทยานแห่งชาติถ้ำสะเกิน,Tham Sa Koen National Parks,19.383726,100.53885,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,สองแคว,Song Khwae District,ยอด,Yot,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1123772,STN1934,บ้านสะเกิน,,19.357973,100.538016,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,55,น่าน,Nan,สองแคว,Song Khwae District,ยอด,Yot,ภาคเหนือ,01,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123694,STN1855,บ้านปางงุ้น,,18.89505,100.13837,rainfall_24h,0805,น้ำแม่สอง,Nam Mae Song,,,,,,56,พะเยา,Phayao,ดอกคำใต้,Dok Khamtai District,หนองหล่ม,Nong Lom,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
642752,MOU031,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าดอยผาช้าง,Wildlife Sanctuary of Doi Pha Chang,19.30203,100.40965,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,56,พะเยา,Phayao,ปง,Pong District,งิม,Ngim,ภาคเหนือ,03,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1100999,TD14,บ้านกำนันปางค่า ม.1,,19.33566,100.43536,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,8,ลุ่มน้ำยม,Yom River Basin
1471,STN0852,บ้านขุนกำลัง,,19.107895,100.390588,rainfall_24h,0802,น้ำแม่ควร,Nam Mae Khuan,,,,,,56,พะเยา,Phayao,ปง,Pong District,ขุนควร,Khun Khuan,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123927,STN2090,บ้านค่าไพบูลย์,,19.119745,100.27518,rainfall_24h,0803,น้ำแม่ลาว,Nam Mae Lao,,,,,,56,พะเยา,Phayao,ปง,Pong District,ปง,Pong,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123924,STN2087,บ้านตุ่น,,19.294227,100.357574,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,งิม,Ngim,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1475,STN0854,บ้านน้ำต้ม,,19.354569,100.392999,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1472,STN0859,บ้านน้ำปุก,,19.197005,100.461177,rainfall_24h,0802,น้ำแม่ควร,Nam Mae Khuan,,,,,,56,พะเยา,Phayao,ปง,Pong District,ขุนควร,Khun Khuan,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123704,STN1865,บ้านน้ำฮาก,,19.329427,100.357865,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,งิม,Ngim,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123702,STN1863,บ้านปางค่าเหนือ,,19.368361,100.470562,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1474,STN0853,บ้านปางผักหม,,19.335588,100.318604,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,งิม,Ngim,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1123703,STN1864,บ้านปางพริก,,19.314713,100.464666,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1476,STN0344,บ้านปางมะโอ,,19.359523,100.510463,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1118504,TD16,บ้านผู้ช่วยผู้ใหญ่บ้าน บ้านปางค่าเหนือ หมู่ 6,,19.3341,100.44015,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,8,ลุ่มน้ำยม,Yom River Basin
1118505,TD17,บ้านผู้ใหญ่บ้าน หมู่ 5,,19.354575,100.393051,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ปภ.,DDPM,กรมป้องกันและบรรเทาสาธารณภัย,Department of Disaster Prevention and Mitigation,8,ลุ่มน้ำยม,Yom River Basin
1473,STN0932,บ้านสบขาม,,19.150395,100.389803,rainfall_24h,0802,น้ำแม่ควร,Nam Mae Khuan,,,,,,56,พะเยา,Phayao,ปง,Pong District,ขุนควร,Khun Khuan,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
1459049,STN2184,บ้านสิบสองพัฒนา,,19.378142,100.442811,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,,,,,,56,พะเยา,Phayao,ปง,Pong District,ผาช้างน้อย,Pha Chang Noi,ภาคเหนือ,03,ทน.,DWR,กรมทรัพยากรน้ำ,Department of Water Resources,8,ลุ่มน้ำยม,Yom River Basin
