station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sub_basin_name_en,sponsor_by,river_name,ground_level,min_bank,qmax,province_code,province_name_th,province_name_en,amphoe_name_th,amphoe_name_en,tumbon_name_th,tumbon_name_en,area_name_th,warning_zone,agency_shortname_th,agency_shortname_en,agency_name_th,agency_name_en,basin_id,basin_name_th,basin_name_en
621,PKTI,ทต.พรานกระต่าย,Phran Kratai,16.65376,99.57577,rainfall_24h,0817,แม่น้ำยมส่วนที่ 4,Yom River Part 4,,,,,,62,กำแพงเพชร,Kamphaeng Phet,พรานกระต่าย,Phran Kratai District,พรานกระต่าย,Phran Kratai,ภาคเหนือ,04,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
622,LKBU,อบต.ลานกระบือ,Lan Krabue,16.61806,99.88005,rainfall_24h,0819,แม่น้ำยมตอนล่าง,Lower Yom River,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ลานกระบือ,Lan Krabue District,ลานกระบือ,Lan Krabue,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
613,NMKO,อบต.หนองไม้กอง,Nong Mai Kong,16.43571,99.94509,rainfall_24h,0819,แม่น้ำยมตอนล่าง,Lower Yom River,,,,,,62,กำแพงเพชร,Kamphaeng Phet,ไทรงาม,Sai Ngam District,หนองไม้กอง,Nong Mai Kong,ภาคเหนือ,05,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
506,BLUG,สนามกีฬา อบต.ป่าคาหลวง,Pha Ka Luang,18.85289,100.43501,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,ป่าคาหลวง,Pa Kha Luang,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
1125522,MOU288,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำน้ำพี้,Nam Phi Watershed Conservation Development Study Unit,18.941303,100.45999,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านพี้,Ban Phi,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1121275,MOU481,หน่วยศึกษาการพัฒนาการอนุรักษ์ต้นน้ำบ้านหลวง,Ban Luang Watershed Conservation Development Study Unit,18.774237,100.42194,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,บ้านฟ้า,Ban Fa,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
1601355,RES033,อ่างเก็บน้ำห้วยช้าง,Huai Chang Reservoir,18.85078,100.47182,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,สวด,Suat,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
1601354,RES032,อ่างเก็บน้ำห้วยสีพัน,Huai Si Phan Reservoir,18.86476,100.47229,rainfall_24h,0804,น้ำแม่งาว,Nam Mae Ngao,,,,,,55,น่าน,Nan,บ้านหลวง,Ban Luang District,สวด,Suat,ภาคเหนือ,01,สสน.,HII,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),Hydro-Informatics Institute (Public Organization),8,ลุ่มน้ำยม,Yom River Basin
685631,MOU026,ที่ทำการอุทยานแห่งชาติถ้ำสะเกิน,Tham Sa Koen National Parks,19.383726,100.53885,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,55,น่าน,Nan,สองแคว,Song Khwae District,ยอด,Yot,ภาคเหนือ,01,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
642752,MOU031,ที่ทำการเขตรักษาพันธุ์สัตว์ป่าดอยผาช้าง,Wildlife Sanctuary of Doi Pha Chang,19.30203,100.40965,rainfall_24h,0801,แม่น้ำยมตอนบน,Upper Yom River,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),,,,,56,พะเยา,Phayao,ปง,Pong District,งิม,Ngim,ภาคเหนือ,03,พพภ,FOP,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,Friend in Need (of 'Pa') Volunteers Foundation,8,ลุ่มน้ำยม,Yom River Basin
