station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
2477,G09006-STN0354,บ้านโปร่งศรี,,18.782298,100.4556,waterlevel,,,,น้ำปี้,,,,,,,,,น่าน,บ้านหลวง,บ้านฟ้า,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
268791,G23069-RES033,อ่างเก็บน้ำห้วยช้าง,,18.85078,100.47182,waterlevel,,,,น้ำปี้,397,,,,,,,,น่าน,บ้านหลวง,สวด,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำยม
268790,G23069-RES032,อ่างเก็บน้ำห้วยสีพัน,,18.86476,100.47229,waterlevel,,,,น้ำปี้,410.6,,,,,,,,น่าน,บ้านหลวง,สวด,สสน.,สถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน),ลุ่มน้ำยม
2545,G09006-STN0852,บ้านขุนกำลัง,,19.107895,100.390588,waterlevel,,,,แม่น้ำควน,,,,,,,,,พะเยา,ปง,ขุนควร,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
8943,G09006-STN2090,บ้านค่าไพบูลย์*,,19.119745,100.27518,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 2,,,,,,,,,พะเยา,ปง,ปง,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
8940,G09006-STN2087,บ้านตุ่น*,,19.294227,100.357574,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 1,,,,,,,,,พะเยา,ปง,งิม,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
4295,G07003-Y.36,บ้านป่าคา,,19.158609,100.32811,waterlevel,,,,แม่น้ำควน,298.5899963378906,303.19,303.19,302.69,303.19,298.5899963378906,4.599999904632568,184.6999969482422,พะเยา,ปง,ควร,ชป.,กรมชลประทาน,ลุ่มน้ำยม
2547,G09006-STN0932,บ้านสบขาม*,,19.150395,100.389803,waterlevel,,,,แม่น้ำควน,,,,,,,,,พะเยา,ปง,ขุนควร,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
8942,G09006-STN2089,บ้านหนองท่าควาย*,,19.187359,100.306189,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 1,,,,,,,,,พะเยา,ปง,ออย,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
8941,G09006-STN2088,บ้านหนองบัว*,,19.283917,100.380564,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 1,,,,,,,,,พะเยา,ปง,งิม,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
5681,G09006-STN1455,บ้านห้วยคอกหมู,,19.216015,100.255061,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 1,,,,,,,,,พะเยา,ปง,นาปรัง,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
5544,G09006-STN1306,บ้านแสะ,,19.155619,100.307051,waterlevel,,,,แม่น้ำควน,,,,,,,,,พะเยา,ปง,ควร,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
268526,G09006-STN2191,บ้านใหม่ปางค่า*,,19.337223,100.431249,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 1,,,,,,,,,พะเยา,ปง,ผาช้างน้อย,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
8607,C00000030-MOU352,สะพานน้ำงิม,,19.321678,100.456184,waterlevel,,,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,แม่น้ำยมตอนบนส่วนที่ 1,443.145,448.012,448.012,,,,,,พะเยา,ปง,ผาช้างน้อย,พพภ,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,ลุ่มน้ำยม
8608,C00000030-MOU353,สะพานน้ำเงิน,,19.228998,100.326294,waterlevel,,,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,แม่น้ำยมตอนบนส่วนที่ 1,310.092,314.708,314.708,,,,,,พะเยา,ปง,ออย,พพภ,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,ลุ่มน้ำยม
268655,C00000030-MOU335,สะพานน้ำแม่คะ ,,19.337248,100.43124,waterlevel,,,บริษัท ไทยเบฟเวอเรจ จำกัด (มหาชน) ,แม่น้ำยมตอนบนส่วนที่ 1,424.4,430.288,430.288,,,,,,พะเยา,ปง,ผาช้างน้อย,พพภ,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,ลุ่มน้ำยม
10151,C00000030-MOU371,สะพานบ้านขุนควร บ้านสบขาม,,19.150398,100.389786,waterlevel,,,สำนักงานพัฒนาการวิจัยการเกษตร (องค์การมหาชน),แม่น้ำควน,,,,,,,,,พะเยา,ปง,ขุนควร,พพภ,มูลนิธิอาสาเพื่อนพึ่ง (ภาฯ) ยามยาก สภากาชาดไทย,ลุ่มน้ำยม
2544,G09006-STN0931,บ้านกลาง*,,18.891162,100.309257,waterlevel,,,,น้ำปี้,,,,,,,,,พะเยา,เชียงม่วน,เชียงม่วน,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
4284,G07003-Y.31,บ้านทุ่งหนอง,,18.94628,100.258949,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 2,256.71,263.0,263.0,262.5,263.0,257.0,6.0,500.0,พะเยา,เชียงม่วน,สระ,ชป.,กรมชลประทาน,ลุ่มน้ำยม
5750,G09006-STN1534,บ้านท่าฟ้าเหนือ*,,19.015725,100.287363,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 2,,,,,,,,,พะเยา,เชียงม่วน,สระ,ทน.,กรมทรัพยากรน้ำ,ลุ่มน้ำยม
4274,G07003-Y.24,บ้านมาง,,18.882099,100.291382,waterlevel,,,,น้ำปี้,257.015,263.77,263.77,263.27,263.77,257.7699890136719,6.0,329.3999938964844,พะเยา,เชียงม่วน,เชียงม่วน,ชป.,กรมชลประทาน,ลุ่มน้ำยม
