station_id,station_oldcode,station_name_th,station_name_en,latitude,longitude,station_type,sub_basin_id,sub_basin_name_th,sponsor_by,river_name,ground_level,min_bank,bank_level_msl,warning_level_msl,critical_level_msl,zero_gauge_msl,bank_level_relative_m,qmax,province_name_th,amphoe_name_th,tumbon_name_th,agency_shortname_th,agency_name_th,basin_name_th
4295,G07003-Y.36,บ้านป่าคา,,19.158609,100.32811,waterlevel,,,,แม่น้ำควน,298.5899963378906,303.19,303.19,302.69,303.19,298.5899963378906,4.599999904632568,184.6999969482422,พะเยา,ปง,ควร,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4284,G07003-Y.31,บ้านทุ่งหนอง,,18.94628,100.258949,waterlevel,,,,แม่น้ำยมตอนบนส่วนที่ 2,256.71,263.0,263.0,262.5,263.0,257.0,6.0,500.0,พะเยา,เชียงม่วน,สระ,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4274,G07003-Y.24,บ้านมาง,,18.882099,100.291382,waterlevel,,,,น้ำปี้,257.015,263.77,263.77,263.27,263.77,257.7699890136719,6.0,329.3999938964844,พะเยา,เชียงม่วน,เชียงม่วน,ชป.,กรมชลประทาน,ลุ่มน้ำยม
3948,G07003-Y.17,สามง่าม,,16.507441,100.204086,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 5,30.03,38.25,38.25,37.75,38.25,31.489999771118164,6.760000228881836,614.0,พิจิตร,สามง่าม,สามง่าม,ชป.,กรมชลประทาน,ลุ่มน้ำยม
3893,G07003-Y.5,หน้าอำเภอโพทะเล,,16.09481,100.259903,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 5,24.19,30.15,30.15,29.65,30.15,22.049999237060547,8.100000381469727,,พิจิตร,โพทะเล,โพทะเล,ชป.,กรมชลประทาน,ลุ่มน้ำยม
10106,G07003-Y.52,บ้านวังจิก,,16.35742,100.263786,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 5,27.09000015258789,34.0,34.0,33.5,34.0,27.09000015258789,6.909999847412109,297.0,พิจิตร,โพธิ์ประทับช้าง,วังจิก,ชป.,กรมชลประทาน,ลุ่มน้ำยม
3983,G07003-Y.16,บางระกำ,,16.757919,100.115578,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 4,30.84,38.93,38.93,38.43,38.93,31.6299991607666,7.300000190734863,230.0,พิษณุโลก,บางระกำ,บางระกำ,ชป.,กรมชลประทาน,ลุ่มน้ำยม
5791,G07003-Y.64,บางระกำ,,16.762119,100.121201,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 5,30.78,38.91,38.91,38.41,38.91,32.5099983215332,6.400000095367432,352.0,พิษณุโลก,บางระกำ,บางระกำ,ชป.,กรมชลประทาน,ลุ่มน้ำยม
10104,G07003-Y.50,บ้านท่านางงาม,,16.78548,100.088493,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 4,34.65999984741211,40.76,40.76,40.26,40.76,34.65999984741211,6.099999904632568,280.0,พิษณุโลก,บางระกำ,ท่านางงาม,ชป.,กรมชลประทาน,ลุ่มน้ำยม
10105,G07003-Y.51,บ้านท่าแห,,16.655769,100.191032,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 5,29.030000686645508,42.72,42.72,42.22,42.72,29.030000686645508,13.6899995803833,,พิษณุโลก,บางระกำ,วังอิทก,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4258,G07003-Y.13A,บ้านหลวงเหนือ,,18.76083,99.972557,waterlevel,,,,แม่น้ำงาว,268.28,271.1,271.1,270.6,271.1,268.29998779296875,2.799999952316284,156.0,ลำปาง,งาว,นาแก,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4254,G07003-Y.30,บ้านโป่ง,,18.709379,99.957626,waterlevel,,,,แม่น้ำงาว,265.22,269.93,269.93,269.43,269.93,265.6300048828125,4.300000190734863,156.9499969482422,ลำปาง,งาว,บ้านโป่ง,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4090,G07003-Y.26,ห้วยแม่มอก,,17.33189,99.461807,waterlevel,,,,น้ำแม่มอก,101.76,106.26,106.26,105.76,106.26,100.37999725341797,5.880000114440918,290.0,ลำปาง,เถิน,เวียงมอก,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4013,G07003-Y.15,บ้านกง,,16.927441,99.959427,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 4,33.343,45.64,45.64,45.14,45.64,35.31999969482422,10.319999694824219,492.0,สุโขทัย,กงไกรลาศ,กง,ชป.,กรมชลประทาน,ลุ่มน้ำยม
10103,G07003-Y.6A,บ้านป่ากล้วย,,17.431141,99.801262,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 2,56.619998931884766,68.16,68.16,67.66,68.16,56.619998931884766,11.539999961853027,2200.0,สุโขทัย,ศรีสัชนาลัย,ท่าชัย,ชป.,กรมชลประทาน,ลุ่มน้ำยม
201269,G07003-Y.14B,บ้านป่างิ้ว,,17.55127,99.770859,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 2,62.0099983215332,73.31,73.31,72.81,73.31,62.0099983215332,11.300000190734863,2293.5,สุโขทัย,ศรีสัชนาลัย,ป่างิ้ว,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4154,G07003-Y.21,ห้วยแม่สิน,,17.792339,99.787033,waterlevel,,,,ห้วยแม่สิน,114.044,121.38,121.38,120.88,121.38,114.45999908447266,6.920000076293945,318.0,สุโขทัย,ศรีสัชนาลัย,แม่สิน,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4058,G07003-Y.33,บ้านคลองตาล,,17.16888,99.860977,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 2,44.49,56.99,56.99,56.49,56.99,45.81999969482422,11.170000076293945,690.0,สุโขทัย,ศรีสำโรง,คลองตาล,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4082,G07003-Y.3A,บ้านวังขอนไม้,,17.302389,99.830307,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 2,50.1,62.0,62.0,61.5,62.0,51.0,11.0,1130.0,สุโขทัย,สวรรคโลก,เมืองสวรรคโลก,ชป.,กรมชลประทาน,ลุ่มน้ำยม
4027,G07003-Y.4,ต.ธานี,,17.006359,99.822113,waterlevel,,,,แม่น้ำยมตอนล่างส่วนที่ 4,42.08,51.59,51.59,51.09,51.59,43.439998626708984,8.149999618530273,510.0,สุโขทัย,เมืองสุโขทัย,ธานี,ชป.,กรมชลประทาน,ลุ่มน้ำยม
